Date,Station,Run,Cyanobacteria,Hapto,Prasinophytes-2,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Dictyo,Diatoms-1
5/14/2019,DFO2,1,0.053409392,0.215834409,0,0.844249934,1.347706556,0.336170837,0.571651151,0,2.63096412
6/11/2019,DFO2,1,0.027829429,0.001562211,0,0.039315136,0.333004311,0.007577784,0,0.013952715,3.134093602
7/6/2019,DFO2,1,0.093855611,0.144149007,0,0.306864366,0.416714321,0.46398584,0.157153937,0,3.68250521
8/5/2019,DFO2,1,0.328127126,0.110368842,0,0.668655048,1.508584519,0.26898996,0.555695275,0,0.705170363
9/2/2019,DFO2,1,0.059108345,0.002763906,0,0.106618123,0.410744031,0.449374164,0.179991024,0.039365624,5.682048003
10/4/2019,DFO2,1,0,0.034824479,0,0.437361419,0.297687093,0.197578542,0.241840382,0,0.342093704
5/4/2020,DFO2,1,0.012868957,0.020160767,0,0.07129107,0.154638256,0.528291181,0.201637385,0.29147585,1.403380175
6/6/2020,DFO2,1,0.028843711,0.055391561,0,0.175565337,0.187777055,0.265125458,0.210734494,0.238165654,0.187740957
7/6/2020,DFO2,1,0.060937952,2.40845E-05,0,0.174865144,0.202186957,0.12258235,0.194494617,0.17685611,0.260445026
8/8/2020,DFO2,1,0.026993776,0.000538029,0,0.054669317,0.077587597,0.147349175,0,0.265064617,1.617430449
9/5/2020,DFO2,1,0.027256893,0,0,0.087549981,0.083895337,0.073315039,0,0.111061737,0.174394916
10/4/2020,DFO2,1,0.006179263,0.028073832,0,0.09524351,0.11150776,0.130835664,0.111820216,0.128254913,0.600272765
5/11/2019,KC10,1,0.025741785,0.033251438,0,0.212928988,0.541552256,0.470600064,0.149663296,0,3.541519562
6/10/2019,KC10,1,0.039111483,0.214451524,0,0.218635571,0.292061259,0.278994466,0.158857437,0,3.466766357
7/10/2019,KC10,1,0.045235759,0.120210171,0,0.034250941,0.103839949,0.268348753,0.148275624,0,0.881834159
8/3/2019,KC10,1,0.118679997,0.19879849,0,0.179704495,0.296672091,0.156706383,0.177560806,0,0.493791307
9/1/2019,KC10,1,0.132203903,0.341326147,0,0.429045161,0.726734211,0.555684571,1.433728874,0.323432463,0.38246163
10/1/2019,KC10,1,0.040594789,0.043436212,0,0.120442932,0.138812505,0.099103281,0.228906738,0.143444628,0
4/30/2020,KC10,1,0.009596898,0.002506107,0,0.090598363,0.1550691,0.355815525,0,0.553139796,8.099657138
6/4/2020,KC10,1,0.054205076,0,0,0.141123985,0.275976395,0.213011612,0,0.207125624,1.875450472
7/2/2020,KC10,1,0.126209435,0.003586882,0,0.115910401,0.436054473,0.262610272,0,0.01735743,4.730323871
8/7/2020,KC10,1,0.040961881,0.109657232,0,0.041287269,0.158160085,0.184151294,0.176594958,0.291057527,2.197928985
9/3/2020,KC10,1,0.041870807,0.093034862,0,0.175430638,0.199671773,0.142589249,0,0.214049096,0.655379275
10/1/2020,KC10,1,0.02331068,0.071678516,0,0.147174211,0.218675805,0.308018555,0,0.214191638,0.881889641
5/13/2019,QCS01,1,0.408753991,0.002626536,0,0.102068942,0.435188184,0.000215874,0,0.003182983,11.20536009
6/9/2019,QCS01,1,0.043367324,0.123674783,0,0.136356945,0.14540192,0.208826765,0.16699551,0,1.962346276
7/7/2019,QCS01,1,0.105056409,0.284717696,0,0.07962563,0.294789468,0.505818442,0.211815243,0,3.276981036
8/6/2019,QCS01,1,0.170307929,0.522495786,0,0.380901163,0.333318993,0.584586451,0.212716992,0,3.010080298
8/31/2019,QCS01,1,0.085845047,0.490339061,0,0.385638654,0.952567031,0.856458942,0.923782359,1.044991662,0.087132274
10/5/2019,QCS01,1,0.051727533,0.268291774,0,0.130148663,0.285960699,0.21349664,0.213620966,0.424714098,0.34410654
5/1/2020,QCS01,1,0,0.001047732,0,0.041799818,0.142483761,0.281914028,0,0.301314379,4.269214948
6/8/2020,QCS01,1,0.043608769,0.055524785,0,0.141167865,0.209170987,0.210870348,0,0.106619179,1.599068562
7/5/2020,QCS01,1,0.120968192,0.001015509,0,0.219283566,0.275467974,0.218589284,0.08854587,0.215077745,2.849660794
