date,site_id,Cyanobacteria,Hapto,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Dictyo,Diatoms-1
2019-01-24,DFO2,0.003039576,0.024503046,0.085675512,0.037464364,0.07359002,0.106033143,0,0.089302368
2019-02-19,DFO2,0.227060184,0.031594167,0.128804665,0.03333904,0.092916193,0.119878925,0,0.273722313
2019-03-15,DFO2,0.363112845,0.016384464,0.184007682,0.429317688,0.013732043,0,0.110566851,5.426968177
2019-04-19,DFO2,0.013755679,0,0.129194483,0.26689977,0.181981792,0.103372434,0.011430019,1.35244447
2019-05-14,DFO2,0.092997108,0.255204702,1.023565143,2.214787026,0.278288496,0.339562734,0,1.795580904
2019-06-11,DFO2,0.0325767,0.014801873,0.050573208,0.620228181,0.008662643,0,0.035783639,2.794708888
2019-07-06,DFO2,0.126111751,0.185275612,0.408970286,0.748197794,0.41944916,0.061415522,0,3.315807939
2019-08-05,DFO2,0.37736237,0.114474602,0.793755462,2.325626771,0.204701225,0.323255897,0,0.006414813
2019-09-02,DFO2,0.074561366,0.005062877,0.150234138,0.814408273,0.410760567,0.082534984,0.092381087,5.300069888
2019-10-04,DFO2,0.008104561,0.038473587,0.544189051,0.481472492,0.161785434,0.136510558,0,0.18084994
2019-11-25,DFO2,0.004452004,0.017815085,0.096958504,0.084477205,0.076191326,0.092542313,0,0
2020-02-12,DFO2,0.004831908,0.029711918,0.10945854,0.199518753,0.073753444,0,0.174741114,0.498707826
2020-05-04,DFO2,0.019354069,0.026938791,0.082334528,0.279179436,0.480185052,0.141389831,0.397111421,1.257250547
2020-06-06,DFO2,0.042551493,0.068790374,0.203950855,0.305373232,0.226158075,0.146164417,0.285026396,0.071329375
2020-07-06,DFO2,0.078369223,7.89757E-05,0.206422264,0.328875914,0.102534792,0.131303589,0.209482782,0.135324683
2020-08-08,DFO2,0.033570825,0.004601756,0.080195701,0.145859937,0.135586602,0,0.375360062,1.414457957
2020-09-05,DFO2,0.035686015,0,0.099680909,0.134785565,0.061869643,0,0.136484717,0.088967044
2020-10-04,DFO2,0.011816044,0.034571971,0.118106104,0.197600412,0.114815722,0.070090582,0.166854252,0.498332784
2020-11-30,DFO2,0.013245749,0.015445693,0.052707521,0.027217491,0.045834643,0,0.060340451,0
2021-01-12,DFO2,0,0,0.024852116,0.120078134,0.006415764,0,0.000427586,0.063013305
2021-02-08,DFO2,0,0,0.073174298,0.238738311,0.021298436,0.001136737,0.009387165,0.586523851
2021-04-12,DFO2,0,0.507701948,0.448509023,1.131415367,0.302119481,0,0.057556034,8.030256351
2021-05-09,DFO2,0.001004362,0.019484224,0.000853394,0.189075661,0.024183308,0,0.003272394,0.397583092
2021-06-06,DFO2,0.007724186,0.005223931,0.098027584,0.996333549,1.097126236,0,0.167726461,5.30319198
2021-07-05,DFO2,9.40007E-05,0.046892441,0.303092805,0.862307062,0.2011987,0.054649571,0,2.11926504
2021-08-09,DFO2,0.014144484,0.000753392,0.045256986,0.373620893,0.180014829,0,0.045022298,1.670548618
