measurementTime,year,month,waterYear,sw_xCO2_QL,sw_xCO2_QC,sw_xCO2_UQL,sw_xCO2,atm_xCO2_QL,atm_xCO2_QC,atm_xCO2_UQL,atm_xCO2
4/30/2018 11:00,2018,Apr,2017-2018,1,,2,425.53,1,,2,424.74
4/30/2018 12:00,2018,Apr,2017-2018,1,,2,427.53,1,,2,425.02
4/30/2018 13:00,2018,Apr,2017-2018,1,,2,426.15,1,,2,425.02
4/30/2018 14:00,2018,Apr,2017-2018,1,,2,426.54,1,,2,424.13
4/30/2018 15:00,2018,Apr,2017-2018,1,,2,206.09,1,,2,424.27
4/30/2018 16:00,2018,Apr,2017-2018,1,,2,189.57,1,,2,423.65
4/30/2018 17:00,2018,Apr,2017-2018,1,,2,207.79,1,,2,424.72
4/30/2018 18:00,2018,Apr,2017-2018,1,,2,184.11,1,,2,425.35
4/30/2018 19:00,2018,Apr,2017-2018,1,,2,200.66,1,,2,424.57
4/30/2018 20:00,2018,Apr,2017-2018,1,,2,213.02,1,,2,425.73
4/30/2018 21:00,2018,Apr,2017-2018,1,,2,193.17,1,,2,425.84
4/30/2018 22:00,2018,Apr,2017-2018,1,,2,202.22,1,,2,425.56
4/30/2018 23:00,2018,Apr,2017-2018,1,,2,208.18,1,,2,426.57
5/1/2018 0:00,2018,Apr,2017-2018,1,,2,206.44,1,,2,427.31
5/1/2018 1:00,2018,May,2017-2018,1,,2,210.06,1,,2,426.76
5/1/2018 2:00,2018,May,2017-2018,1,,2,210.69,1,,2,427.25
5/1/2018 3:00,2018,May,2017-2018,1,,2,199.24,1,,2,429.98
5/1/2018 4:00,2018,May,2017-2018,1,,2,213.83,1,,2,432.05
5/1/2018 5:00,2018,May,2017-2018,1,,2,220.07,1,,2,432.04
5/1/2018 6:00,2018,May,2017-2018,1,,2,208.27,1,,2,431.01
5/1/2018 7:00,2018,May,2017-2018,1,,9,,1,,9,
5/1/2018 8:00,2018,May,2017-2018,1,,2,202.81,1,,2,425.43
5/1/2018 9:00,2018,May,2017-2018,1,,2,202.89,1,,2,424.83
5/1/2018 10:00,2018,May,2017-2018,1,,2,204.97,1,,2,425.15
5/1/2018 11:00,2018,May,2017-2018,1,,2,208.57,1,,2,424.12
5/1/2018 12:00,2018,May,2017-2018,1,,2,209.54,1,,2,425.52
5/1/2018 13:00,2018,May,2017-2018,1,,2,213.01,1,,2,424.66
5/1/2018 14:00,2018,May,2017-2018,1,,2,209.05,1,,2,424.26
5/1/2018 15:00,2018,May,2017-2018,1,,2,203.62,1,,2,423.55
5/1/2018 16:00,2018,May,2017-2018,1,,2,206.77,1,,2,423.36
5/1/2018 17:00,2018,May,2017-2018,1,,2,211.46,1,,2,423.77
5/1/2018 18:00,2018,May,2017-2018,1,,2,214.49,1,,2,424.89
5/1/2018 19:00,2018,May,2017-2018,1,,2,215.88,1,,2,424.6
5/1/2018 20:00,2018,May,2017-2018,1,,2,218.72,1,,2,425.65
5/1/2018 21:00,2018,May,2017-2018,1,,2,218.86,1,,2,426.25
5/1/2018 22:00,2018,May,2017-2018,1,,2,221.2,1,,2,426.1
5/1/2018 23:00,2018,May,2017-2018,1,,2,223.71,1,,2,426.47
5/2/2018 0:00,2018,May,2017-2018,1,,2,224.11,1,,2,425.7
5/2/2018 1:00,2018,May,2017-2018,1,,2,230.75,1,,2,427.48
5/2/2018 2:00,2018,May,2017-2018,1,,2,234.75,1,,2,435.75
5/2/2018 3:00,2018,May,2017-2018,1,,2,236.04,1,,2,433.01
5/2/2018 4:00,2018,May,2017-2018,1,,2,266.05,1,,2,430.72
5/2/2018 5:00,2018,May,2017-2018,1,,2,246.62,1,,2,431.16
5/2/2018 6:00,2018,May,2017-2018,1,,2,236.68,1,,2,432.59
5/2/2018 7:00,2018,May,2017-2018,1,,2,236.21,1,,2,430.05
5/2/2018 8:00,2018,May,2017-2018,1,,2,232.51,1,,2,428.18
5/2/2018 9:00,2018,May,2017-2018,1,,2,232.85,1,,2,428.09
5/2/2018 10:00,2018,May,2017-2018,1,,2,235.28,1,,2,427.11
5/2/2018 11:00,2018,May,2017-2018,1,,2,237.49,1,,2,425.8
5/2/2018 12:00,2018,May,2017-2018,1,,2,236.25,1,,2,425.01
5/2/2018 13:00,2018,May,2017-2018,1,,2,239.57,1,,2,422.9
5/2/2018 14:00,2018,May,2017-2018,1,,2,233.46,1,,2,421.42
5/2/2018 15:00,2018,May,2017-2018,1,,2,239.25,1,,2,421.98
5/2/2018 16:00,2018,May,2017-2018,1,,2,235.15,1,,2,421.83
5/2/2018 17:00,2018,May,2017-2018,1,,2,246.65,1,,2,421.92
5/2/2018 18:00,2018,May,2017-2018,1,,2,226.83,1,,2,421.82
5/2/2018 19:00,2018,May,2017-2018,1,,2,248.02,1,,2,421.97
5/2/2018 20:00,2018,May,2017-2018,1,,2,232.16,1,,2,423.14
5/2/2018 21:00,2018,May,2017-2018,1,,2,228.25,1,,2,423.58
5/2/2018 22:00,2018,May,2017-2018,1,,2,230.61,1,,2,425.26
5/2/2018 23:00,2018,May,2017-2018,1,,2,241.98,1,,2,434
5/3/2018 0:00,2018,May,2017-2018,1,,2,250.44,1,,2,436.2
5/3/2018 1:00,2018,May,2017-2018,1,,2,249.87,1,,2,439.62
5/3/2018 2:00,2018,May,2017-2018,1,,2,251.5,1,,2,440.36
5/3/2018 3:00,2018,May,2017-2018,1,,2,249.6,1,,2,427.99
5/3/2018 4:00,2018,May,2017-2018,1,,2,250.73,1,,2,442.27
5/3/2018 5:00,2018,May,2017-2018,1,,2,254.28,1,,2,444.63
5/3/2018 6:00,2018,May,2017-2018,1,,2,256.73,1,,2,443.28
5/3/2018 7:00,2018,May,2017-2018,1,,2,252.19,1,,2,428.4
5/3/2018 8:00,2018,May,2017-2018,1,,2,266.47,1,,2,426.8
5/3/2018 9:00,2018,May,2017-2018,1,,2,254.62,1,,2,423.14
5/3/2018 10:00,2018,May,2017-2018,1,,2,247.91,1,,2,422.67
5/3/2018 11:00,2018,May,2017-2018,1,,2,249.41,1,,2,425.13
5/3/2018 12:00,2018,May,2017-2018,1,,2,250.33,1,,2,423.65
5/3/2018 13:00,2018,May,2017-2018,1,,2,253.47,1,,2,421.64
5/3/2018 14:00,2018,May,2017-2018,1,,2,250.52,1,,2,421.55
5/3/2018 15:00,2018,May,2017-2018,1,,2,262.45,1,,2,422.15
5/3/2018 16:00,2018,May,2017-2018,1,,2,247.41,1,,2,423.01
5/3/2018 17:00,2018,May,2017-2018,1,,2,254.36,1,,2,423.79
5/3/2018 18:00,2018,May,2017-2018,1,,2,260.17,1,,2,423.15
5/3/2018 19:00,2018,May,2017-2018,1,,2,250.17,1,,2,422.07
5/3/2018 20:00,2018,May,2017-2018,1,,2,278.16,1,,2,423.75
5/3/2018 21:00,2018,May,2017-2018,1,,2,255.14,1,,2,423.68
5/3/2018 22:00,2018,May,2017-2018,1,,2,242.63,1,,2,424.32
5/3/2018 23:00,2018,May,2017-2018,1,,2,250.2,1,,2,424.15
5/4/2018 0:00,2018,May,2017-2018,1,,2,260.79,1,,2,423.87
5/4/2018 1:00,2018,May,2017-2018,1,,2,276.45,1,,2,424.73
5/4/2018 2:00,2018,May,2017-2018,1,,2,273.73,1,,2,426.2
5/4/2018 3:00,2018,May,2017-2018,1,,2,269.44,1,,2,430.59
5/4/2018 4:00,2018,May,2017-2018,1,,2,267.73,1,,2,426.77
5/4/2018 5:00,2018,May,2017-2018,1,,2,268.19,1,,2,429.01
5/4/2018 6:00,2018,May,2017-2018,1,,2,272.94,1,,2,428.15
5/4/2018 7:00,2018,May,2017-2018,1,,2,276.79,1,,2,427.7
5/4/2018 8:00,2018,May,2017-2018,1,,2,278.48,1,,2,426.59
5/4/2018 9:00,2018,May,2017-2018,1,,2,291.44,1,,2,424.9
5/4/2018 10:00,2018,May,2017-2018,1,,2,291.56,1,,2,425.01
5/4/2018 11:00,2018,May,2017-2018,1,,2,293.65,1,,2,425.05
5/4/2018 12:00,2018,May,2017-2018,1,,2,280.36,1,,2,423.66
5/4/2018 13:00,2018,May,2017-2018,1,,2,277.36,1,,2,423.78
5/4/2018 14:00,2018,May,2017-2018,1,,2,284.5,1,,2,423.25
5/4/2018 15:00,2018,May,2017-2018,1,,2,286.08,1,,2,422.97
5/4/2018 16:00,2018,May,2017-2018,1,,2,282.04,1,,2,422.13
5/4/2018 17:00,2018,May,2017-2018,1,,2,276.19,1,,2,421.98
5/4/2018 18:00,2018,May,2017-2018,1,,2,260.08,1,,2,422.53
5/4/2018 19:00,2018,May,2017-2018,1,,2,240.3,1,,2,423.8
5/4/2018 20:00,2018,May,2017-2018,1,,2,257.23,1,,2,431.09
5/4/2018 21:00,2018,May,2017-2018,1,,2,208.96,1,,2,437.36
5/4/2018 22:00,2018,May,2017-2018,1,,2,210.03,1,,2,432.52
5/4/2018 23:00,2018,May,2017-2018,1,,2,232.67,1,,2,439.97
5/5/2018 0:00,2018,May,2017-2018,1,,2,246.86,1,,2,438.47
5/5/2018 1:00,2018,May,2017-2018,1,,2,241.69,1,,2,441.54
5/5/2018 2:00,2018,May,2017-2018,1,,2,233.45,1,,2,438.1
5/5/2018 3:00,2018,May,2017-2018,1,,2,259.8,1,,2,446.92
5/5/2018 4:00,2018,May,2017-2018,1,,2,254.75,1,,2,441.04
5/5/2018 5:00,2018,May,2017-2018,1,,2,257.05,1,,2,439.98
5/5/2018 6:00,2018,May,2017-2018,1,,2,225.15,1,,2,436.96
5/5/2018 7:00,2018,May,2017-2018,1,,2,232.34,1,,2,429.69
5/5/2018 8:00,2018,May,2017-2018,1,,2,218.08,1,,2,428.63
5/5/2018 9:00,2018,May,2017-2018,1,,2,228.54,1,,2,422.02
5/5/2018 10:00,2018,May,2017-2018,1,,2,236.33,1,,2,418.7
5/5/2018 11:00,2018,May,2017-2018,1,,2,243.91,1,,2,422.93
5/5/2018 12:00,2018,May,2017-2018,1,,2,236.33,1,,2,423.27
5/5/2018 13:00,2018,May,2017-2018,1,,2,243.16,1,,2,421.45
5/5/2018 14:00,2018,May,2017-2018,1,,2,245.21,1,,2,421.43
5/5/2018 15:00,2018,May,2017-2018,1,,2,241.83,1,,2,421.51
5/5/2018 16:00,2018,May,2017-2018,1,,2,272.44,1,,2,420.06
5/5/2018 17:00,2018,May,2017-2018,1,,2,274.57,1,,2,420.6
5/5/2018 18:00,2018,May,2017-2018,1,,2,268.41,1,,2,419.03
