Hakai ID,fecal
CPHY476,311
CPHY498,89
CPHY505,432
CPHY506,288
CPHY511,0
CPHY514,0
CPHY516,160
CPHY527,777
CPHY530,444
CPHY404,120
CPHY414,222
CPHY437,534
CPHY430,222
CPHY453,144
CPHY464,148
CPHY468,432
CPHY519,288
CPHY525,720
CPHY535,444
CPHY412,80
CPHY406,0
CPHY420,216
CPHY438,200
CPHY448,576
CPHY454,144
CPHY460,62
CPHY467,336
CPHY510,144
CPHY473,222
CPHY480,160
CPHY483,40
CPHY488,0
CPHY490,124
CPHY494,620
CPHY435,492
CPHY496,144
CPHY500,0
CPHY503,1244
CPHY507,111
CPHY509,222
CPHY515,40
CPHY518,120
CPHY526,622
CPHY529,576
CPHY532,979
CPHY521,432
CPHY523,800
CPHY541,80
CPHY543,120
CPHY546,80
CPHY548,555
CPHY534,999
CPHY537,120
CPHY540,160
CPHY522,445
CPHY524,534
CPHY536,280
CPHY539,40
CPHY542,40
CPHY544,160
CPHY547,222
QPHY1227,0
QPHY1232,120
QPHY1237,80
QPHY1242,200
QPHY1247,200
QPHY1257,200
QPHY1252,160
QPHY1263,560
QPHY1259,222
QPHY1267,162
QPHY630,440
QPHY1371,560
QPHY1445,800
QPHY1447,480
QPHY1448,520
QPHY1449,160
QPHY1450,160
QPHY1451,440
QPHY1454,120
QPHY302,80
QPHY365,360
QPHY371,324
QPHY320,144
QPHY328,600
QPHY334,200
QPHY343,0
QPHY385,0
QPHY393,160
QPHY438,270
QPHY661,200
QPHY510,360
QPHY445,1480
QPHY455,0
QPHY460,480
QPHY470,280
QPHY501,0
QPHY521,320
QPHY549,0
QPHY553,0
QPHY562,200
QPHY567,80
QPHY577,40
QPHY600,80
QPHY610,160
QPHY620,0
QPHY631,0
QPHY636,0
QPHY646,336
QPHY651,336
QPHY666,188
QPHY676,0
QPHY681,0
QPHY721,0
QPHY686,1243
QPHY700,0
QPHY731,224
QPHY741,40
QPHY736,336
QPHY746,215
QPHY756,160
QPHY766,320
QPHY771,480
QPHY776,40
QPHY785,378
QPHY790,80
QPHY795,1480
QPHY800,520
QPHY810,160
QPHY815,311
QPHY820,880
QPHY825,123
QPHY830,333
QPHY840,120
QPHY845,0
QPHY850,760
QPHY860,200
QPHY876,120
QPHY881,360
QPHY886,360
QPHY896,40
QPHY911,120
QPHY916,360
QPHY921,400
QPHY891,80
QPHY927,80
QPHY932,160
QPHY951,120
QPHY956,0
QPHY961,40
QPHY967,0
QPHY981,240
QPHY986,80
QPHY991,120
QPHY996,1592
QPHY1002,0
QPHY1007,300
QPHY1013,540
QPHY1018,270
QPHY1024,0
QPHY1029,111
QPHY1034,444
QPHY1039,144
QPHY1059,160
QPHY1064,370
QPHY1070,1120
QPHY1076,1240
QPHY1081,440
QPHY1075,360
QPHY1091,162
QPHY1097,520
QPHY1102,6192
QPHY1118,1107
QPHY1124,320
QPHY1129,160
QPHY1134,400
QPHY1139,144
QPHY1144,360
QPHY1150,720
QPHY1155,740
QPHY1161,148
QPHY1166,280
QPHY1171,333
QPHY1177,186
QPHY1182,528
QPHY1198,400
QPHY1203,160
QPHY1187,1320
QPHY1192,320
QPHY1222,440
QPHY1274,124
QPHY1271,148
QPHY1272,240
QPHY1275,979
QPHY1282,520
QPHY1286,96
QPHY1285,333
QPHY1288,560
QPHY1289,800
QPHY1290,200
QPHY1298,400
QPHY1299,40
QPHY1300,0
QPHY1301,40
QPHY1302,0
QPHY1304,0
QPHY1305,288
QPHY1281,0
QPHY1307,0
QPHY1308,0
QPHY1309,0
QPHY1310,0
QPHY1311,0
QPHY1324,0
QPHY1325,120
QPHY1326,0
QPHY1327,0
QPHY1328,40
QPHY1329,160
QPHY1330,200
QPHY1332,160
QPHY1331,40
QPHY1333,200
QPHY1350,200
QPHY1351,712
QPHY1323,576
QPHY1352,600
QPHY1353,640
QPHY1354,240
QPHY1355,287
QPHY1444,720
QPHY1356,1160
QPHY1357,1178
QPHY1358,186
QPHY1359,0
QPHY1360,120
QPHY1361,622
QPHY1362,160
QPHY1363,120
QPHY1364,1296
QPHY1365,2225
QPHY1366,1246
QPHY1367,1584
QPHY1368,600
QPHY1369,1632
CPHY528,62
CPHY531,444
CPHY533,1200
CPHY478,40
CPHY485,40
CPHY489,240
CPHY492,41
CPHY486,712
CPHY499,576
CPHY502,432
CPHY508,0
CPHY512,768
CPHY513,480
CPHY517,40
CPHY520,120
CPHY497,267
CPHY403,40
CPHY408,0
CPHY423,720
CPHY432,0
CPHY445,1008
CPHY451,702
CPHY457,623
CPHY462,814
CPHY470,814
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
