action,event_pk,rn,is_replicate,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,filtered,filter_type,volume,installed,collected,preserved,analyzed,lab_technician,nh4_,no2_no3_um,no2_no3_ugl,tp,tdp,tn,tdn,srp,po4,sio2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,nh4__flag,no2_no3_flag,tp_flag,tdp_flag,tn_flag,tdn_flag,srp_flag,po4_flag,sio2_flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,analyzing_lab,metadata_qc_flag,comments,quality_log,no2_no3_units,row_flag,quality_level
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3714,M,50.0307,-125.0992,50.03079992,-125.0996859,,0,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,26.712,,,,,,,2.254,49.643,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3715,M,50.0307,-125.0992,50.03079992,-125.0996859,,5,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,27.034,,,,,,,2.324,51.027,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3716,M,50.0307,-125.0992,50.03079992,-125.0996859,,10,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,27.786,,,,,,,2.375,50.09,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3717,M,50.0307,-125.0992,50.03079992,-125.0996859,,20,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,28.224,,,,,,,2.408,53.416,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3718,M,50.0307,-125.0992,50.03079992,-125.0996859,,30,29.2167854,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,28.729,,,,,,,2.476,52.981,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3719,M,50.0307,-125.0992,50.03079992,-125.0996859,,40,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,29.075,,,,,,,2.508,54.699,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3720,M,50.0307,-125.0992,50.03079992,-125.0996859,,50,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,29.574,,,,,,,2.603,55.943,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3721,M,50.0307,-125.0992,50.03079992,-125.0996859,,75,,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,29.974,,,,,,,2.618,54.6,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363209,1,,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,,QNUT3722,M,50.0307,-125.0992,50.03079992,-125.0996859,,100,100.0077601,,0.45nm,13,,2018-01-03 11:07:22,2018-01-03 12:59:20,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,30.322,,,,,,,2.614,54.425,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
,363208,1,,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,,QNUT3723,M,50.0307,-125.0992,50.03058629,-125.0998352,,150,,,0.45nm,13,,2018-01-03 10:42:49,2018-01-03 12:59:15,2018-05-09 00:00:00,"brianna.knowles,isabelle.desmarais",,30.396,,,,,,,2.615,53.926,,,,,,,AV,AV,AV,AV,AV,AV,AV,AV,,,,,,UBC,,,"1: Metadata checked by RW.2: Results uploaded by RP.",uM,Results,Technicianmr
