Cast PK,File PK,Hakai_ID,Filename,CTD model,CTD serial number,CTD firmware version,Cruise,Station,Station Longitude,Station Latitude,Distance from station,Drop number,Start time,Drop time (s),Drop depth (m),Target depth (m),Drop speed (m/s),Bottom time,Operators,Comments,Cast Type,Sensors Submerged,Water Depth (m),Soak Start,Soak End,Weather
11895,4779,018066_2018-04-22T16:00:38.334Z,018066_20180422_1553,XRX-620,18066,6.81,QCS_V1,QCS01,,,,1,2018-04-22 09:00:41.500,108,125.5244109,130,1.167668935,2018-04-22 09:02:29.000,"brent.rayner,CM,lucy.quayle",,,,,Invalid date,Invalid date,
11918,4781,018066_2018-04-25T18:39:01.166Z,018066_20180426_1555,XRX-620,18066,6.81,RVRS,DFO2,,,,1,2018-04-25 11:39:01.166,268,293.151145,320,1.092486024,2018-04-25 11:43:29.500,"brent.rayner,Cm CO EJ,lucy.quayle",,,,,Invalid date,Invalid date,
11919,4781,018066_2018-04-25T18:52:40.000Z,018066_20180426_1555,XRX-620,18066,6.81,RVRS,DFO2,,,,2,2018-04-25 11:52:39.000,1200,289.3920458,300,0.241126482,2018-04-25 12:12:39.167,"brent.rayner,Cm CO EJ,lucy.quayle",,,,,Invalid date,Invalid date,
11956,4807,018066_2018-04-28T15:44:21.500Z,018066_20180428_1122,XRX-620,18066,6.81,FZH,KC10,,,,1,2018-04-28 08:44:21.500,278,317.3698845,335,1.143675245,2018-04-28 08:48:59.000,"chris.mackenzie,chris.osullivan,eva.jordison,lucy.quayle",,,,,Invalid date,Invalid date,
11957,4807,018066_2018-04-28T16:00:54.834Z,018066_20180428_1122,XRX-620,18066,6.81,FZH,KC10,,,,2,2018-04-28 09:00:54.834,1088,312.1868005,325,0.286936397,2018-04-28 09:19:02.834,"chris.mackenzie,chris.osullivan,eva.jordison,lucy.quayle",,,,,Invalid date,Invalid date,
12081,4887,018066_2018-05-22T16:37:02.000Z,018066_20180522_1444,XRX-620,18066,6.81,"KWY_V2,KWY,QCS_V1",QCS01,,,,1,2018-05-22 09:37:03.333,91,107.9807949,115,1.180118022,2018-05-22 09:38:34.833,"bryn.fedje,chris.osullivan,emma.myers,Jen Jackson",,,,,Invalid date,Invalid date,
12103,4892,018066_2018-05-23T16:08:11.666Z,018066_20180523_1455,XRX-620,18066,6.81,FZH,KC10,,,,1,2018-05-23 09:10:08.167,1238,312.6238469,325,0.252489444,2018-05-23 09:30:46.333,"chris.osullivan,emma.myers,Jen Jackson,lucy.quayle",,,,,Invalid date,Invalid date,
12104,4892,018066_2018-05-23T16:57:42.501Z,018066_20180523_1455,XRX-620,18066,6.81,FZH,KC10,,,,2,2018-05-23 09:57:42.501,300,329.8711815,350,1.098962497,2018-05-23 10:02:42.667,"chris.osullivan,emma.myers,Jen Jackson,lucy.quayle",,,,,Invalid date,Invalid date,
12190,4931,018066_2018-05-29T17:41:33.166Z,018066_20180529_1601,XRX-620,18066,6.81,"QCS_V2,QCS_V1",QCS01,,,,1,2018-05-29 10:41:33.166,439,112.7140803,115,0.256946795,2018-05-29 10:48:51.833,"brent.rayner,bryn.fedje,chris.osullivan",Large denisty inversion around 80 m,,,,Invalid date,Invalid date,
12191,4931,018066_2018-05-29T18:05:12.499Z,018066_20180529_1601,XRX-620,18066,6.81,"QCS_V1,QCS_V2",QCS01,,,,2,2018-05-29 11:05:15.333,110,124.1139719,130,1.131734935,2018-05-29 11:07:05.000,"brent.rayner,bryn.fedje,chris.osullivan",,,,,Invalid date,Invalid date,
12215,4936,018066_2018-05-30T19:31:08.333Z,018066_20180531_1636,XRX-620,18066,6.81,RVRS,DFO2,,,,2,2018-05-30 12:31:08.333,682,287.3225652,300,0.421190948,2018-05-30 12:42:30.500,"brent.rayner,bryn.fedje,chris.osullivan,emma.myers,lucy.quayle",1: Forgot a messenger at 30m sent back down at 12:49 PM,,,,Invalid date,Invalid date,
12216,4936,018066_2018-05-30T20:20:53.333Z,018066_20180531_1636,XRX-620,18066,6.81,RVRS,DFO2,,,,4,2018-05-30 13:20:53.333,233,277.3916055,315,1.192225802,2018-05-30 13:24:46.000,"brent.rayner,bryn.fedje,chris.osullivan,emma.myers,lucy.quayle",,,,,Invalid date,Invalid date,
12400,5031,018066_2018-06-19T20:04:19.666Z,018066_20180620_1650,XRX-620,18066,6.81,RVRS,DFO2,,,,3,2018-06-19 13:04:19.666,318,292.186547,310,0.92026968,2018-06-19 13:09:37.167,"brent.rayner,bryn.fedje,chris.mackenzie,lucy.quayle",,,,,Invalid date,Invalid date,
