" ID	PARAM	Date	Value	SYM"
"08FB011	1	10/25/2011	76.9	A"
"08FB011	1	10/26/2011	76.2	"
"08FB011	1	10/27/2011	72.9	"
"08FB011	1	10/28/2011	72.8	"
"08FB011	1	10/29/2011	71.6	"
"08FB011	1	10/30/2011	75.1	"
"08FB011	1	10/31/2011	74.9	"
"08FB011	1	11/1/2011	71.8	"
"08FB011	1	11/2/2011	71.1	"
"08FB011	1	11/3/2011	68.8	"
"08FB011	1	11/4/2011	64.6	"
"08FB011	1	11/5/2011	63	"
"08FB011	1	11/6/2011	61.1	"
"08FB011	1	11/7/2011	59.7	"
"08FB011	1	11/8/2011	56.8	"
"08FB011	1	11/9/2011	55.7	A"
"08FB011	1	11/10/2011	79.6	"
"08FB011	1	11/11/2011	87.1	"
"08FB011	1	11/12/2011	80.2	"
"08FB011	1	11/13/2011	76.2	"
"08FB011	1	11/14/2011	72.8	"
"08FB011	1	11/15/2011	68.7	"
"08FB011	1	11/16/2011	66	"
"08FB011	1	11/17/2011	65.2	"
"08FB011	1	11/18/2011	60.2	"
"08FB011	1	11/19/2011	51.5	"
"08FB011	1	11/20/2011	48.9	"
"08FB011	1	11/21/2011	51.4	"
"08FB011	1	11/22/2011	54.3	"
"08FB011	1	11/23/2011	52	"
"08FB011	1	11/24/2011	48.7	"
"08FB011	1	11/25/2011	46.9	"
"08FB011	1	11/26/2011	53.4	"
"08FB011	1	11/27/2011	144	"
"08FB011	1	11/28/2011	124	"
"08FB011	1	11/29/2011	100	"
"08FB011	1	11/30/2011	88.5	"
"08FB011	1	12/1/2011	82.2	"
"08FB011	1	12/2/2011	78	"
"08FB011	1	12/3/2011	74.3	"
"08FB011	1	12/4/2011	70.5	"
"08FB011	1	12/5/2011	67.2	"
"08FB011	1	12/6/2011	65.9	"
"08FB011	1	12/7/2011	63.2	"
"08FB011	1	12/8/2011	59	"
"08FB011	1	12/9/2011	55.7	"
"08FB011	1	12/10/2011	53.5	"
"08FB011	1	12/11/2011	50.3	"
"08FB011	1	12/12/2011	45.8	"
"08FB011	1	12/13/2011	45.7	"
"08FB011	1	12/14/2011	45	"
"08FB011	1	12/15/2011	44.3	"
"08FB011	1	12/16/2011	44.7	"
"08FB011	1	12/17/2011	79.4	"
"08FB011	1	12/18/2011	93	"
"08FB011	1	12/19/2011	84.5	"
"08FB011	1	12/20/2011	99.7	"
"08FB011	1	12/21/2011	87.6	"
"08FB011	1	12/22/2011	79	"
"08FB011	1	12/23/2011	74.7	"
"08FB011	1	12/24/2011	72.8	"
"08FB011	1	12/25/2011	77	"
"08FB011	1	12/26/2011	75.9	"
"08FB011	1	12/27/2011	73	"
"08FB011	1	12/28/2011	71.1	"
"08FB011	1	12/29/2011	71.4	"
"08FB011	1	12/30/2011	68.7	"
"08FB011	1	12/31/2011	63.7	"
"08FB011	1	1/1/2012	58.8	"
"08FB011	1	1/2/2012	60.6	"
"08FB011	1	1/3/2012	65.1	"
"08FB011	1	1/4/2012	116	"
"08FB011	1	1/5/2012	152	"
"08FB011	1	1/6/2012	113	"
"08FB011	1	1/7/2012	94.4	"
"08FB011	1	1/8/2012	114	"
"08FB011	1	1/9/2012	159	"
"08FB011	1	1/10/2012	137	"
"08FB011	1	1/11/2012	106	"
"08FB011	1	1/12/2012	92.3	"
"08FB011	1	1/13/2012	84	"
"08FB011	1	1/14/2012	78.8	"
"08FB011	1	1/15/2012	72.5	"
"08FB011	1	1/16/2012	65.1	B"
"08FB011	1	1/17/2012	60.7	B"
"08FB011	1	1/18/2012	58	B"
"08FB011	1	1/19/2012	53	B"
"08FB011	1	1/20/2012	51.1	B"
"08FB011	1	1/21/2012	49.8	B"
"08FB011	1	1/22/2012	48.5	B"
"08FB011	1	1/23/2012	46.3	B"
"08FB011	1	1/24/2012	45	"
"08FB011	1	1/25/2012	45.3	"
"08FB011	1	1/26/2012	43.1	"
"08FB011	1	1/27/2012	41.8	"
"08FB011	1	1/28/2012	41.6	"
"08FB011	1	1/29/2012	54.2	"
"08FB011	1	1/30/2012	51.6	"
"08FB011	1	1/31/2012	46.7	"
"08FB011	1	2/1/2012	44.9	"
"08FB011	1	2/2/2012	43.2	"
"08FB011	1	2/3/2012	42.1	"
"08FB011	1	2/4/2012	41.4	"
"08FB011	1	2/5/2012	40.7	"
"08FB011	1	2/6/2012	39.8	"
"08FB011	1	2/7/2012	38.7	"
"08FB011	1	2/8/2012	37.8	"
"08FB011	1	2/9/2012	37.1	"
"08FB011	1	2/10/2012	36.8	"
"08FB011	1	2/11/2012	36.4	"
"08FB011	1	2/12/2012	36.4	"
"08FB011	1	2/13/2012	36.2	"
"08FB011	1	2/14/2012	35.2	"
"08FB011	1	2/15/2012	34.3	"
"08FB011	1	2/16/2012	34	"
"08FB011	1	2/17/2012	33.5	"
"08FB011	1	2/18/2012	33	"
"08FB011	1	2/19/2012	32.4	"
"08FB011	1	2/20/2012	32	"
"08FB011	1	2/21/2012	32	"
"08FB011	1	2/22/2012	33	"
"08FB011	1	2/23/2012	32.2	"
"08FB011	1	2/24/2012	32.3	"
"08FB011	1	2/25/2012	31.9	"
"08FB011	1	2/26/2012	31.2	"
"08FB011	1	2/27/2012	30	"
"08FB011	1	2/28/2012	29.9	"
"08FB011	1	2/29/2012	29.8	"
"08FB011	1	3/1/2012	29.3	"
"08FB011	1	3/2/2012	29	"
"08FB011	1	3/3/2012	31.7	"
"08FB011	1	3/4/2012	33.9	"
"08FB011	1	3/5/2012	32.6	"
"08FB011	1	3/6/2012	31.7	"
"08FB011	1	3/7/2012	31.1	"
"08FB011	1	3/8/2012	31	"
"08FB011	1	3/9/2012	33.7	"
"08FB011	1	3/10/2012	34.6	"
"08FB011	1	3/11/2012	34.2	"
"08FB011	1	3/12/2012	33.4	"
"08FB011	1	3/13/2012	32.7	"
"08FB011	1	3/14/2012	31.6	"
"08FB011	1	3/15/2012	31.3	"
"08FB011	1	3/16/2012	30.9	"
"08FB011	1	3/17/2012	30.5	"
"08FB011	1	3/18/2012	29.9	"
"08FB011	1	3/19/2012	29.1	"
"08FB011	1	3/20/2012	29	"
"08FB011	1	3/21/2012	28.4	"
