action,event_pk,date,work_area,organization,survey,sampling_bout,site_id,lat,long,secchi_type,line_out_depth,hakai_id,row_flag,quality_level,comments,quality_log
,363200,2018-01-03,QUADRA,HAKAI,A5,1,QU39,50.0307000000001,-125.0992,,19.5,QU39_2018-01-03_1,Collected,Raw,,
,363439,2018-01-04,QUADRA,HAKAI,QOMB,1,QU39,50.0307000000001,-125.0992,,18,QU39_2018-01-04_1,Collected,Raw,,
,364070,2018-01-09,QUADRA,HAKAI,QOMA4,1,QU39,50.0307000000001,-125.0992,,14,QU39_2018-01-09_1,Collected,Raw,,
,364072,2018-01-09,QUADRA,HAKAI,QOMA4,2,QU39,50.0307000000001,-125.0992,,14,QU39_2018-01-09_2,Collected,Raw,,
,364805,2018-01-10,CALVERT,HAKAI,QCS_V1,1,QCS01,51.705,-128.2384,,10,QCS01_2018-01-10_1,Collected,Raw,,
,364867,2018-01-11,CALVERT,HAKAI,FZH,5,KC10,51.6505000000001,-127.9516,,12,KC10_2018-01-11_5,Collected,Raw,,
,364881,2018-01-12,CALVERT,HAKAI,RVRS,1,DFO2,51.5208000000001,-127.5583,,9,DFO2_2018-01-12_1,Collected,Raw,,
,365742,2018-01-22,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,15.5,QU39_2018-01-22_1,Collected,Raw,,
,365995,2018-01-24,QUADRA,HAKAI,QRAFT1;QOMB,1,QU39,50.0307000000001,-125.0992,,13,QU39_2018-01-24_1,Collected,Raw,,
,367170,2018-01-31,QUADRA,HAKAI,QOMA5,1,QU39,50.0307000000001,-125.0992,,12,QU39_2018-01-31_1,Collected,Raw,,
,367273,2018-02-01,QUADRA,HAKAI,QOMB,1,QU39,50.0307000000001,-125.0992,,13.5,QU39_2018-02-01_1,Collected,Raw,,
,367351,2018-02-06,QUADRA,HAKAI,QOMA4,1,QU39,50.0307000000001,-125.0992,,16.5,QU39_2018-02-06_1,Collected,Raw,,
,368583,2018-02-13,QUADRA,HAKAI,QOMA5,1,QU39,50.0307000000001,-125.0992,,14,QU39_2018-02-13_1,Collected,Raw,,
,368596,2018-02-14,QUADRA,HAKAI,QOMB,1,QU39,50.0307000000001,-125.0992,,12,QU39_2018-02-14_1,Collected,Raw,,
,368691,2018-02-19,CALVERT,HAKAI,FZH,2,KC10,51.6505000000001,-127.9516,,15,KC10_2018-02-19_2,Collected,Raw,,
,368682,2018-02-19,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,14,QU39_2018-02-19_1,Collected,Raw,,
,368745,2018-02-20,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,14,DFO2_2018-02-20_2,Collected,Raw,,
