sample_name,date,year,location,cluster
S2018-01-10,2018-01-10,2018,S,1
C2018-01-11,2018-01-11,2018,C,1
F2018-01-12,2018-01-12,2018,F,2
C2018-02-19,2018-02-19,2018,C,2
S2018-03-24,2018-03-24,2018,S,3
C2018-03-27,2018-03-27,2018,C,4
F2018-03-31,2018-03-31,2018,F,4
S2018-04-22,2018-04-22,2018,S,3
F2018-04-25,2018-04-25,2018,F,5
C2018-04-28,2018-04-28,2018,C,3
C2018-05-23,2018-05-23,2018,C,6
S2018-05-29,2018-05-29,2018,S,3
F2018-05-30,2018-05-30,2018,F,4
F2018-06-19,2018-06-19,2018,F,3
C2018-06-27,2018-06-27,2018,C,7
S2018-07-14,2018-07-14,2018,S,7
C2018-07-15,2018-07-15,2018,C,7
F2018-07-24,2018-07-24,2018,F,4
C2018-08-19,2018-08-19,2018,C,5
F2018-08-21,2018-08-21,2018,F,4
S2018-08-28,2018-08-28,2018,S,3
C2018-09-11,2018-09-11,2018,C,3
S2018-09-13,2018-09-13,2018,S,3
F2018-09-14,2018-09-14,2018,F,3
C2018-10-23,2018-10-23,2018,C,3
C2018-11-21,2018-11-21,2018,C,3
F2018-11-22,2018-11-22,2018,F,1
C2019-01-21,2019-01-21,2019,C,1
F2019-01-24,2019-01-24,2019,F,2
C2019-02-14,2019-02-14,2019,C,2
F2019-02-19,2019-02-19,2019,F,2
C2019-03-13,2019-03-13,2019,C,3
F2019-03-15,2019-03-15,2019,F,4
C2019-04-18,2019-04-18,2019,C,3
F2019-04-19,2019-04-19,2019,F,4
C2019-05-11,2019-05-11,2019,C,5
S2019-05-13,2019-05-13,2019,S,7
F2019-05-14,2019-05-14,2019,F,7
S2019-06-09,2019-06-09,2019,S,8
C2019-06-10,2019-06-10,2019,C,7
F2019-06-11,2019-06-11,2019,F,7
F2019-07-06,2019-07-06,2019,F,6
S2019-07-07,2019-07-07,2019,S,8
C2019-07-10,2019-07-10,2019,C,8
C2019-08-03,2019-08-03,2019,C,8
F2019-08-05,2019-08-05,2019,F,5
S2019-08-06,2019-08-06,2019,S,8
S2019-08-31,2019-08-31,2019,S,5
C2019-09-01,2019-09-01,2019,C,5
F2019-09-02,2019-09-02,2019,F,6
C2019-10-01,2019-10-01,2019,C,3
F2019-10-04,2019-10-04,2019,F,3
S2019-10-05,2019-10-05,2019,S,3
F2019-11-25,2019-11-25,2019,F,2
C2019-11-26,2019-11-26,2019,C,3
S2019-11-28,2019-11-28,2019,S,1
C2020-02-11,2020-02-11,2020,C,1
F2020-02-12,2020-02-12,2020,F,3
C2020-04-30,2020-04-30,2020,C,7
S2020-05-01,2020-05-01,2020,S,7
F2020-05-04,2020-05-04,2020,F,4
C2020-06-04,2020-06-04,2020,C,7
F2020-06-06,2020-06-06,2020,F,4
S2020-06-08,2020-06-08,2020,S,7
C2020-07-02,2020-07-02,2020,C,6
S2020-07-05,2020-07-05,2020,S,6
F2020-07-06,2020-07-06,2020,F,3
C2020-08-07,2020-08-07,2020,C,7
F2020-08-08,2020-08-08,2020,F,6
C2020-09-03,2020-09-03,2020,C,4
S2020-09-04,2020-09-04,2020,S,5
F2020-09-05,2020-09-05,2020,F,3
C2020-10-01,2020-10-01,2020,C,4
S2020-10-02,2020-10-02,2020,S,4
F2020-10-04,2020-10-04,2020,F,4
C2020-11-04,2020-11-04,2020,C,3
C2020-11-27,2020-11-27,2020,C,2
F2020-11-30,2020-11-30,2020,F,2
