date,site_id,chl,location
2018-05-23,KC10,5.984978859165759,C
2018-05-29,QCS01,1.8195439448175779,S
2018-05-30,DFO2,6.089286309433293,F
2018-06-19,DFO2,2.8071969137758375,F
2018-06-27,KC10,2.8388513974377814,C
2018-07-14,QCS01,6.639640626565042,S
2018-07-15,KC10,3.8157394529333413,C
2018-07-24,DFO2,2.1429419541784718,F
2018-08-19,KC10,4.374496496398664,C
2018-08-21,DFO2,3.9551375293041025,F
2018-08-28,QCS01,6.074455655497234,S
2018-09-11,KC10,1.1678882966853075,C
2018-09-13,QCS01,2.4414552207722804,S
2018-09-14,DFO2,2.0530571871431946,F
2018-10-23,KC10,1.843135677732445,C
2018-05-29,QU39,1.1047035582784392,NA
2018-06-26,QU39,1.493393419600152,NA
2018-07-23,QU39,1.4349749551454185,NA
2018-08-21,QU39,1.8998928560780075,NA
2018-09-13,QU39,1.2168730818117222,NA
2018-10-24,QU39,2.5421504763758986,NA
2019-05-09,QU39,3.83,NA
2019-05-11,KC10,4.98,C
2019-05-13,QCS01,12.16,S
2019-05-14,DFO2,6,F
2019-06-04,QU39,2.75,NA
2019-06-09,QCS01,2.79,S
2019-06-10,KC10,4.68,C
2019-06-11,DFO2,3.54,F
2019-07-06,DFO2,5.2700000000000005,F
2019-07-07,QCS01,4.75,S
2019-07-09,QU39,1.4300000000000002,NA
2019-07-10,KC10,1.5999999999999999,C
2019-08-03,KC10,1.61,C
2019-08-05,DFO2,4.15,F
2019-08-06,QCS01,5.22,S
2019-08-07,QU39,3.4499999999999997,NA
2019-08-29,QU39,1.69,NA
2019-08-31,QCS01,4.82,S
2019-09-01,KC10,4.33,C
2019-09-02,DFO2,6.92,F
2019-10-01,KC10,0.81,C
2019-10-04,DFO2,1.55,F
2019-10-05,QCS01,1.94,S
2019-10-09,QU39,1.4,NA
2020-04-29,QU39,2.37,NA
2020-04-30,KC10,9.27,C
2020-05-01,QCS01,5.04,S
2020-05-04,DFO2,2.69,F
2020-06-04,KC10,2.7600000000000002,C
2020-06-04,QU39,1.78,NA
2020-06-06,DFO2,1.34,F
2020-06-08,QCS01,2.37,S
2020-07-02,KC10,5.69,C
2020-07-05,QCS01,4,S
2020-07-06,DFO2,1.18,F
2020-07-09,QU39,0.89,NA
2020-08-04,QU39,1.03,NA
2020-08-07,KC10,3.1999999999999997,C
2020-08-08,DFO2,2.19,F
2020-09-01,QU39,2.07,NA
2020-09-03,KC10,1.52,C
2020-09-04,QCS01,2.17,S
2020-09-05,DFO2,0.56,F
2020-10-01,KC10,1.8800000000000001,C
2020-10-02,QCS01,0.8200000000000001,S
2020-10-04,DFO2,1.21,F
2020-10-08,QU39,0.78,NA
