date,month,season,yday,site_id,cyan,hapto,green,cryp,dino,dict,raph,diat
5/9/2019,5,spring,129,QU39,0.098454865,0.076175472,0.400627573,1.072415928,0.283446752,0.061159787,0.065432457,1.767536819
5/11/2019,5,spring,131,KC10,0.0214482,0.031855825,0.218024597,1.447103798,0.518891975,0.005721304,0.049207374,2.683004538
5/13/2019,5,spring,133,QCS01,0.477337057,0.010773219,0.106703586,1.399028977,0.032391733,0.052447404,0,10.07871405
5/14/2019,5,spring,134,DFO2,0.031984735,0.190689206,0.722848564,2.765829245,0.271575217,0,0.290173935,1.726885239
6/4/2019,6,spring,155,QU39,0.222111594,0.111805484,1.30495729,0.697029114,2.12E-04,0.263349786,0,0.15998065
6/9/2019,6,spring,160,QCS01,0.043434531,0.225725772,0.160415332,0.426031366,0.2174546,0,0.11226568,1.601642231
6/10/2019,6,spring,161,KC10,0.037415368,0.216034504,0.238659007,0.945865234,0.323657875,0.018448753,0.065180852,2.823616624
6/11/2019,6,spring,162,DFO2,0.032966362,0.00427615,0.030264979,0.853907794,0.013323385,0.01174034,0,2.610856215
7/6/2019,7,summer,187,DFO2,0.095305414,0.146159473,0.295184049,1.10091577,0.438199719,0.012666082,0.052439338,3.124358376
7/7/2019,7,summer,188,QCS01,0.112706815,0.512473593,0.08422144,0.816151718,0.520314594,0,0.1503753,2.56256036
7/9/2019,7,summer,190,QU39,0.38174743,0.052634586,0.245320164,0.548773497,0.10817326,0.053954348,0.039966701,0
7/10/2019,7,summer,191,KC10,0.049029117,0.116955311,0.029358798,0.254556117,0.295265307,0,0.122884999,0.733945688
8/3/2019,8,summer,215,KC10,0.103943843,0.171137487,0.173307076,0.653032869,0.15052248,0,0.100675762,0.269294041
8/5/2019,8,summer,217,DFO2,0.265644876,0.084315021,0.512056097,2.73615547,0.18880266,0,0.289453345,0.06916374
8/6/2019,8,summer,218,QCS01,0.162017355,0.914808979,0.435496221,0.860487123,0.580147093,0,0.115356729,2.146093965
8/7/2019,8,summer,219,QU39,1.677088757,0.041535243,0.720198154,0.86205709,0.139553417,0.002044309,0.007711409,0
8/29/2019,8,summer,241,QU39,0.230661313,0.03898717,0.386281292,0.705220222,0.094061088,0.140397621,0.085654432,0
8/31/2019,8,summer,243,QCS01,0.05021169,0.714589049,0.331220508,1.323985596,0.66571794,1.223369996,0.51766025,0
9/1/2019,9,summer,244,KC10,0.101319388,0.276230832,0.369511877,1.489687423,0.499456947,0.303484688,1.03772219,0.247203695
9/2/2019,9,summer,245,DFO2,0.066754191,0.00471346,0.100242897,1.260749549,0.435759534,0.154602268,0.103547219,4.803643783
10/1/2019,10,autumn,274,KC10,0.030606534,0.034940792,0.110473889,0.257299768,0.08911483,0.138838227,0.153467017,0
10/4/2019,10,autumn,277,DFO2,0,0.030183949,0.371579135,0.619513422,0.161862622,0,0.116804572,0.25144197
10/5/2019,10,autumn,278,QCS01,0.038666817,0.400179043,0.118828256,0.461282174,0.169788813,0.617754002,0.125567811,0
10/9/2019,10,autumn,282,QU39,0.301505792,0.038127042,0.25171492,0.503890038,0.090600704,0.141282291,0.0773934,0
4/29/2020,4,spring,120,QU39,0.041973618,0.001098518,0.07589907,0.257614021,0.202037719,0.574813142,0,1.22358046
4/30/2020,4,spring,121,KC10,0.011702017,0.008615483,0.148828569,0.900059655,0.447611555,1.030105313,0,6.719460487
5/1/2020,5,spring,122,QCS01,8.23E-04,0.004517633,0.047670693,0.589800154,0.30754967,0.781640947,0,3.305772066
5/4/2020,5,spring,125,DFO2,0.012871225,0.020375163,0.066925315,0.395168866,0.490122502,0.367254044,0.149503659,1.181522965
6/4/2020,6,spring,156,KC10,0.053847676,1.56E-04,0.139378705,0.746988893,0.233645149,0.299709852,0,1.293167075
6/4/2020,6,spring,156,QU39,0.044137077,0.06743166,0.180572152,0.994880786,0.234299148,0.177602487,0.085117536,0
6/6/2020,6,spring,158,DFO2,0.024700053,0.050168672,0.146195792,0.372904683,0.223102542,0.250113656,0.138627203,0.143531688
6/8/2020,6,spring,160,QCS01,0.041969923,0.096441101,0.151689512,0.572084829,0.208397351,0.247109542,0,1.048338145
7/2/2020,7,summer,184,KC10,0.145052357,0.007671372,0.099505158,1.373558164,0.304621533,0.091537962,0,3.670106332
7/5/2020,7,summer,187,QCS01,0.12135732,0.002481723,0.245471629,0.777981013,0.225456141,0.499384234,0.046386832,2.070090195
7/6/2020,7,summer,188,DFO2,0.054711163,0,0.146114518,0.404116377,0.100958616,0.179781822,0.124043537,0.182666143
7/9/2020,7,summer,191,QU39,0.020078293,0.036437374,0.085733066,0.490634675,0.08798959,0.076468875,0.078648689,0
8/4/2020,8,summer,217,QU39,0.333611305,0.041849958,0.202804978,0.298252712,0.070413366,0.049052192,0.044308613,0
8/7/2020,8,summer,220,KC10,0.046209632,0.108941834,0.039114358,0.524898723,0.208158543,0.438271771,0.15034482,1.683859587
8/8/2020,8,summer,221,DFO2,0.030605288,0.002010032,0.049347906,0.242285788,0.145348441,0.35034514,0,1.369690319
9/1/2020,9,summer,245,QU39,0.053740865,0.077013914,0.322695603,0.588978132,0.154592072,0.358002062,0.099613248,0.423778057
9/3/2020,9,summer,247,KC10,0.034043938,0.084213899,0.17205521,0.486551791,0.145427083,0.269302967,0,0.330430816
9/4/2020,9,summer,248,QCS01,0.237443959,0.418667709,0.352937197,0.485182757,0.142933788,0.354203482,0.183384725,0
9/5/2020,9,summer,249,DFO2,0.025709829,0,0.070484079,0.175655169,0.062435523,0.124824744,0,0.098364579
10/1/2020,10,autumn,275,KC10,0.018509921,0.065448615,0.139684378,0.556310952,0.318308671,0.279675141,0,0.487001439
10/2/2020,10,autumn,276,QCS01,0.023134615,0.070393806,0.099791388,0.220213167,0.129192277,0.235546055,0,0.037423854
10/4/2020,10,autumn,278,DFO2,0.00540884,0.026774572,0.08174881,0.273894581,0.11676913,0.16092245,0.07307132,0.473598172
10/8/2020,10,autumn,282,QU39,0.038757669,0.066873715,0.180434649,0.199658955,0.092488262,0.108878116,0.094532248,0
