sample_name,cluster
F2019-05-14,1
F2019-06-11,2
F2019-07-06,2
F2019-08-05,1
F2019-09-02,2
F2019-10-04,3
F2020-05-04,2
F2020-06-06,3
F2020-07-06,3
F2020-08-08,2
F2020-09-05,3
F2020-10-04,3
C2019-05-11,2
C2019-06-10,2
C2019-07-10,3
C2019-08-03,3
C2019-09-01,4
C2019-10-01,5
C2020-04-30,2
C2020-06-04,2
C2020-07-02,2
C2020-08-07,2
C2020-09-03,3
C2020-10-01,3
S2019-05-13,2
S2019-06-09,2
S2019-07-07,2
S2019-08-06,2
S2019-08-31,4
S2019-10-05,3
S2020-05-01,2
S2020-06-08,2
S2020-07-05,2
S2020-09-04,4
S2020-10-02,3
