date,month,month_surv,site_id,cyan,hapto,green,cryp,dino,dict,raph,diat
2019-05-11,5,5,KC10,0.02,0.03,0.22,1.45,0.52,0.01,0.05,2.68
2019-05-13,5,5,QCS01,0.48,0.01,0.11,1.4,0.03,0.05,0,10.08
2019-05-14,5,5,DFO2,0.03,0.19,0.72,2.77,0.27,0,0.29,1.73
2019-06-09,6,6,QCS01,0.04,0.23,0.16,0.43,0.22,0,0.11,1.6
2019-06-10,6,6,KC10,0.04,0.22,0.24,0.95,0.32,0.02,0.07,2.82
2019-06-11,6,6,DFO2,0.03,0,0.03,0.85,0.01,0.01,0,2.61
2019-07-06,7,7,DFO2,0.1,0.15,0.3,1.1,0.44,0.01,0.05,3.12
2019-07-07,7,7,QCS01,0.11,0.51,0.08,0.82,0.52,0,0.15,2.56
2019-07-10,7,7,KC10,0.05,0.12,0.03,0.25,0.3,0,0.12,0.73
2019-08-03,8,8,KC10,0.1,0.17,0.17,0.65,0.15,0,0.1,0.27
2019-08-05,8,8,DFO2,0.27,0.08,0.51,2.74,0.19,0,0.29,0.07
2019-08-06,8,8,QCS01,0.16,0.91,0.44,0.86,0.58,0,0.12,2.15
2019-08-31,8,9,QCS01,0.05,0.71,0.33,1.32,0.67,1.22,0.52,0
2019-09-01,9,9,KC10,0.1,0.28,0.37,1.49,0.5,0.3,1.04,0.25
2019-09-02,9,9,DFO2,0.07,0,0.1,1.26,0.44,0.15,0.1,4.8
2019-10-01,10,10,KC10,0.03,0.03,0.11,0.26,0.09,0.14,0.15,0
2019-10-04,10,10,DFO2,0,0.03,0.37,0.62,0.16,0,0.12,0.25
2019-10-05,10,10,QCS01,0.04,0.4,0.12,0.46,0.17,0.62,0.13,0
2020-04-30,4,5,KC10,0.01,0.01,0.15,0.9,0.45,1.03,0,6.72
2020-05-01,5,5,QCS01,0,0,0.05,0.59,0.31,0.78,0,3.31
2020-05-04,5,5,DFO2,0.01,0.02,0.07,0.4,0.49,0.37,0.15,1.18
2020-06-04,6,6,KC10,0.05,0,0.14,0.75,0.23,0.3,0,1.29
2020-06-06,6,6,DFO2,0.02,0.05,0.15,0.37,0.22,0.25,0.14,0.14
2020-06-08,6,6,QCS01,0.04,0.1,0.15,0.57,0.21,0.25,0,1.05
2020-07-02,7,7,KC10,0.15,0.01,0.1,1.37,0.3,0.09,0,3.67
2020-07-05,7,7,QCS01,0.12,0,0.25,0.78,0.23,0.5,0.05,2.07
2020-07-06,7,7,DFO2,0.05,0,0.15,0.4,0.1,0.18,0.12,0.18
2020-08-07,8,8,KC10,0.05,0.11,0.04,0.52,0.21,0.44,0.15,1.68
2020-08-08,8,8,DFO2,0.03,0,0.05,0.24,0.15,0.35,0,1.37
2020-09-03,9,9,KC10,0.03,0.08,0.17,0.49,0.15,0.27,0,0.33
2020-09-04,9,9,QCS01,0.24,0.42,0.35,0.49,0.14,0.35,0.18,0
2020-09-05,9,9,DFO2,0.03,0,0.07,0.18,0.06,0.12,0,0.1
2020-10-01,10,10,KC10,0.02,0.07,0.14,0.56,0.32,0.28,0,0.49
2020-10-02,10,10,QCS01,0.02,0.07,0.1,0.22,0.13,0.24,0,0.04
2020-10-04,10,10,DFO2,0.01,0.03,0.08,0.27,0.12,0.16,0.07,0.47
2019-05-09,5,5,QU39,0.1,0.08,0.4,1.07,0.28,0.06,0.07,1.77
2019-06-04,6,6,QU39,0.22,0.11,1.3,0.7,0,0.26,0,0.16
2019-07-09,7,7,QU39,0.38,0.05,0.25,0.55,0.11,0.05,0.04,0
2019-08-07,8,8,QU39,1.68,0.04,0.72,0.86,0.14,0,0.01,0
2019-08-29,8,9,QU39,0.23,0.04,0.39,0.71,0.09,0.14,0.09,0
2019-10-09,10,10,QU39,0.3,0.04,0.25,0.5,0.09,0.14,0.08,0
2020-04-29,4,5,QU39,0.04,0,0.08,0.26,0.2,0.57,0,1.22
2020-06-04,6,6,QU39,0.04,0.07,0.18,0.99,0.23,0.18,0.09,0
2020-07-09,7,7,QU39,0.02,0.04,0.09,0.49,0.09,0.08,0.08,0
2020-08-04,8,8,QU39,0.33,0.04,0.2,0.3,0.07,0.05,0.04,0
2020-09-01,9,9,QU39,0.05,0.08,0.32,0.59,0.15,0.36,0.1,0.42
2020-10-08,10,10,QU39,0.04,0.07,0.18,0.2,0.09,0.11,0.09,0
