date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,species_sum,count
2018-05-23,5,5,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,200,4400
2018-05-29,5,5,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,623,16501
2018-05-30,5,5,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,2016,7776
2018-06-19,6,6,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1620,5454
2018-06-27,6,6,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,576,2880
2018-07-14,7,7,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,288,1296
2018-07-15,7,7,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,288,864
2018-07-24,7,7,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,3560,11303
2018-08-19,8,8,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,186,9380
2018-08-21,8,8,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1480,3774
2018-08-28,8,8,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,144,5184
2018-09-11,9,9,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,288,2544
2018-09-13,9,9,QCS01,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,814,2960
2018-09-14,9,9,DFO2,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,370,3552
2018-10-23,10,10,KC10,hetero,Ciliophora,ciliates,292896,ciliates,ciliates,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,74,4588
