label,cluster
DFO2_2019-05-14,1
DFO2_2019-06-11,2
DFO2_2019-07-06,2
DFO2_2019-08-05,1
DFO2_2019-09-02,2
DFO2_2019-10-04,3
DFO2_2020-05-04,2
DFO2_2020-06-06,3
DFO2_2020-07-06,3
DFO2_2020-08-08,2
DFO2_2020-09-05,3
DFO2_2020-10-04,3
KC10_2019-05-11,2
KC10_2019-06-10,2
KC10_2019-07-10,2
KC10_2019-08-03,3
KC10_2019-09-01,4
KC10_2019-10-01,3
KC10_2020-04-30,2
KC10_2020-06-04,2
KC10_2020-07-02,2
KC10_2020-08-07,2
KC10_2020-09-03,3
KC10_2020-10-01,3
QCS01_2019-05-13,2
QCS01_2019-06-09,2
QCS01_2019-07-07,2
QCS01_2019-08-06,2
QCS01_2019-08-31,4
QCS01_2019-10-05,4
QCS01_2020-05-01,2
QCS01_2020-06-08,2
QCS01_2020-07-05,2
QCS01_2020-09-04,4
QCS01_2020-10-02,3
