label,cluster
DFO2_2018-05-30,1
DFO2_2018-06-19,2
DFO2_2018-07-24,2
DFO2_2018-08-21,1
DFO2_2018-09-14,1
DFO2_2019-05-14,3
DFO2_2019-06-11,1
DFO2_2019-07-06,2
DFO2_2019-08-05,4
DFO2_2019-09-02,4
DFO2_2019-10-04,4
DFO2_2020-05-04,5
DFO2_2020-06-06,1
DFO2_2020-07-06,4
DFO2_2020-08-08,4
DFO2_2020-09-05,4
DFO2_2020-10-04,6
KC10_2018-05-23,1
KC10_2018-06-27,1
KC10_2018-07-15,1
KC10_2018-08-19,1
KC10_2018-09-11,1
KC10_2018-10-23,1
KC10_2019-05-11,4
KC10_2019-06-10,1
KC10_2019-07-10,1
KC10_2019-08-03,1
KC10_2019-09-01,1
KC10_2019-10-01,4
KC10_2020-04-30,1
KC10_2020-06-04,1
KC10_2020-07-02,1
KC10_2020-08-07,1
KC10_2020-09-03,1
KC10_2020-10-01,1
QCS01_2018-05-29,2
QCS01_2018-07-14,1
QCS01_2018-08-28,1
QCS01_2018-09-13,1
QCS01_2019-05-13,1
QCS01_2019-06-09,1
QCS01_2019-07-07,1
QCS01_2019-08-06,1
QCS01_2019-08-31,1
QCS01_2019-10-05,1
QCS01_2020-05-01,1
QCS01_2020-06-08,1
QCS01_2020-07-05,1
QCS01_2020-09-04,1
QCS01_2020-10-02,1
