sample_name,cluster
C2018-05-23,1
S2018-05-29,1
F2018-05-30,2
F2018-06-19,2
C2018-06-27,1
S2018-07-14,3
C2018-07-15,1
F2018-07-24,2
C2018-08-19,1
S2018-08-28,3
C2018-09-11,3
S2018-09-13,3
F2018-09-14,2
C2018-10-23,2
C2019-05-11,2
S2019-05-13,1
F2019-05-14,2
S2019-06-09,1
C2019-06-10,3
F2019-06-11,2
F2019-07-06,2
S2019-07-07,1
C2019-07-10,1
C2019-08-03,3
F2019-08-05,2
S2019-08-06,3
S2019-08-31,3
C2019-09-01,3
F2019-09-02,2
C2019-10-01,2
F2019-10-04,2
S2019-10-05,3
C2020-04-30,3
S2020-05-01,3
F2020-05-04,2
F2020-06-06,2
S2020-06-08,1
C2020-07-02,3
S2020-07-05,3
F2020-07-06,2
C2020-08-07,1
F2020-08-08,2
C2020-09-03,3
S2020-09-04,1
F2020-09-05,2
C2020-10-01,3
S2020-10-02,2
F2020-10-04,2
