sample_name,date,site_id,location,phys_clust
C2019-05-11,2019-05-11,KC10,C,2
S2019-05-13,2019-05-13,QCS01,S,1
F2019-05-14,2019-05-14,DFO2,F,2
S2019-06-09,2019-06-09,QCS01,S,1
C2019-06-10,2019-06-10,KC10,C,3
F2019-06-11,2019-06-11,DFO2,F,2
F2019-07-06,2019-07-06,DFO2,F,2
S2019-07-07,2019-07-07,QCS01,S,1
C2019-07-10,2019-07-10,KC10,C,1
C2019-08-03,2019-08-03,KC10,C,3
F2019-08-05,2019-08-05,DFO2,F,2
S2019-08-06,2019-08-06,QCS01,S,3
S2019-08-31,2019-08-31,QCS01,S,3
C2019-09-01,2019-09-01,KC10,C,3
F2019-09-02,2019-09-02,DFO2,F,2
C2019-10-01,2019-10-01,KC10,C,2
F2019-10-04,2019-10-04,DFO2,F,2
S2019-10-05,2019-10-05,QCS01,S,3
C2020-04-30,2020-04-30,KC10,C,3
S2020-05-01,2020-05-01,QCS01,S,3
F2020-05-04,2020-05-04,DFO2,F,2
F2020-06-06,2020-06-06,DFO2,F,2
S2020-06-08,2020-06-08,QCS01,S,1
C2020-07-02,2020-07-02,KC10,C,3
S2020-07-05,2020-07-05,QCS01,S,3
F2020-07-06,2020-07-06,DFO2,F,2
C2020-08-07,2020-08-07,KC10,C,1
F2020-08-08,2020-08-08,DFO2,F,2
C2020-09-03,2020-09-03,KC10,C,3
S2020-09-04,2020-09-04,QCS01,S,1
F2020-09-05,2020-09-05,DFO2,F,2
C2020-10-01,2020-10-01,KC10,C,3
S2020-10-02,2020-10-02,QCS01,S,2
F2020-10-04,2020-10-04,DFO2,F,2
