date,site_id,lat,long,temp_dm,sal_dm,N2_dm,delta_rho_dm,turb_dm,flu_dm,dep_26_dm,fwc_dm,no2_dm,sio2_dm,po4_dm,secchi_depth,zeu_dm,micro_chl,nano_chl,pico_chl,micro_perc,nano_perc,pico_perc,bulk_chl,fecal,dino_het,ciliates,Chaetoceros seiracanthus,Chaetoceros similis,Cylindrotheca closterium,Paralia sulcata,Pseudo-nitzschia seriata,Rhizosolenia setigera,Thalassionema nitzschioides,Thalassiosira,Dinobryon,Myrionecta rubra,Hillea,Teleaulax,Dictyocha speculum,Dictyocha,Dinophysis acuminata,Gymnodinium,Gyrodinium,Dinophyceae,Euglenozoa,Pennales,Skeletonema marinoi,Chaetoceros,Oligotrichea,Pseudo-nitzschia,Chaetoceros debilis,Ditylum brightwellii,Pyramimonas orientalis,Tintinnina,Katodinium,Phaeocystis pouchetii,Biddulphiales,Chaetoceros tenuissimus,Chaetoceros socialis,Ciliophrys infusionum,Ceratium fusus,Ebria tripartita,Chaetoceros convolutus,Chaetoceros decipiens,Thalassiosira pacifica,Chaetoceros laciniosus,Dactyliosolen fragilissimus,Licmophora,Pyramimonas grossii,Tetraselmis gracilis,Apedinella spinifera,Chrysochromulina,Teleaulax acuta,Teleaulax amphioxeia,Protoperidinium,Protoperidinium steinii,Scrippsiella precaria,Scrippsiella trochoidea,Achnanthes,Chaetoceros ceratosporus,Chaetoceros cinctus,Chaetoceros radicans,Corethron criophilum,Stephanopyxis turris,Pterosperma,Ochromonas,Oxyphysis oxytoxoides,Chaetoceros danicus,Dactyliosolen phuketensis,Leptocylindrus danicus,Thalassiosira nordenskioeldii,Thalassiosira rotula,Gonyaulax,Asterionellopsis glacialis,Bacterosira,Chaetoceros simplex,Fragilariopsis,Guinardia delicatula,Dinophysis fortii,Pyramimonas,Eucampia zodiacus,Ceratium lineatum,Cerataulina bicornis,Thalassiosira anguste-lineata,Pleurosigma,Chrysophyceae,Katodinium glaucum,Attheya,Bacteriastrum,Chaetoceros diadema,Chaetoceros didymus,Eucampia groenlandica,Ceratium divaricatum,Ceratium horridum,Dinophysis rotundata,Eutreptiella hirudoidea,Coscinodiscus,Dinophysis acuta,Dinophysis,Pyrocystis lunula,Chaetoceros subtilis,Navicula,Prorocentrum gracile,Asteromphalus heptactis,Detonula pumila,Alexandrium catenella,Prorocentrum micans,Odontella longicruris,Dictyocha fibula,Protoperidinium conicum,Bacillariophyceae,Meringosphaera mediterranea,Membraneis challengeri,Asterionellopsis kariana,Prorocentrum,Dictyocha octonaria,Amylax triacantha,Oxytoxum,Meringosphaera,Heterosigma akashiwo,Olisthodiscus,Raphidophyceae,Cerataulina pelagica,Corythodinium,Ceratium furca,Bacteriastrum delicatulum,Chaetoceros compressus,Ceratium symmetricum,Ceratium tripos,Ceratium,Prorocentrum minimum,cyan,pela,hapt,pras2,pras3,cryp,dino,raph,diat
2018-01-10,QCS01,51.70500093,-128.2384338,7.84595,31.39995,1.033193183232442e-6,0.19934050815868432,0.035700757575757525,0.29259999999999997,116.5,1.6378578110383546,17.0435041279007,28.5645886635474,1.40240483384882,10,NA,NA,NA,NA,NA,NA,NA,NA,120,280,720,320,120,760,520,40,2280,160,320,40,200,38500,8750,320,160,40,160,120,80,40,160,600,40,520,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,KC10,51.651254955,-127.95130855,7.018800000000001,30.486400000000003,8.080391897606829e-5,0.5835064989357193,0.057200757575757544,0.44475,136,2.3063221078889935,19.9858376869888,33.8440848738674,1.4472441089258,12,NA,NA,NA,NA,NA,NA,NA,NA,0,400,1640,0,0,520,0,0,0,40,80,40,800,61250,33250,240,0,0,200,160,0,0,360,360,80,800,40,80,40,7000,40,40,68250,1750,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,DFO2,51.520464855,-127.55899984999999,7.5696,30.22835,2.057894796045908e-4,0.9207338246052927,0.21770075757575755,0.20884999999999998,129,2.0481509198628007,19.5203986552853,32.9963047588137,1.517,9,NA,NA,NA,NA,NA,NA,NA,NA,0,200,160,0,0,600,0,0,0,80,120,1750,40,7000,1750,0,0,0,40,120,40,0,640,280,3500,120,120,0,0,0,0,40,0,0,0,240,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-19,KC10,51.64999598,-127.9495424,6.4089,30.2912,1.3602580710027507e-5,0.5070365130004575,0.3150454545454545,0.3418,131,2.3883411287807923,20.35799086523,36.3481591027315,1.65845155007239,15,NA,NA,NA,NA,NA,NA,NA,NA,80,40,280,0,0,640,0,0,0,0,280,0,40,7000,80,0,0,0,40,0,0,0,10900,1560,80,200,80,80,0,1750,40,0,1750,1750,1790,0,0,0,40,80,280,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-20,DFO2,51.520638745,-127.559567,6.7418,29.31445,9.466085925639406e-4,1.702473778044748,0.19054545454545452,0.35240000000000005,117,1.6446055503585912,18.6938323353423,33.423152739995,1.464,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-21,QCS01,51.705772960000004,-128.23887865,6.5036,30.345,1.2995325017398554e-4,0.7074765217284948,0.09354545454545449,0.5683,99,1.805333645151232,18.1442010501826,32.9342756235842,1.45462781510136,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-24,QCS01,51.70592234,-128.23901535,7.5245999999999995,31.18325,6.37285972300712e-5,0.43980217103080577,0.19927499999999998,0.7387,108,1.0596460866853765,16.7817414181034,32.8640441356687,1.41074740105035,12.5,NA,NA,NA,NA,NA,NA,NA,NA,222,2590,13550,0,0,2368,0,0,0,370,1118,0,2442,42779,46668,74,296,0,2368,74,1406,962,814,9472,740,11108,148,592,0,27223,0,148,0,0,31112,0,0,0,2886,0,0,0,518,296,74,7778,7778,3889,7778,3889,3889,74,74,4144,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-27,KC10,51.650665599999996,-127.9499069,7.00165,31.06345,5.54021917812439e-5,1.0258062320167483,0.07327500000000003,0.99285,117,1.5712316806984727,18.7438530491392,34.6824441996889,1.54722887343558,9,NA,NA,NA,NA,NA,NA,NA,NA,216,756,2052,486,0,1404,648,270,0,0,3888,0,810,54446,19445,0,54,0,324,270,378,0,810,141800,108,1242,3024,90576,0,0,0,162,50557,3997,11721,7622,0,0,756,216,0,3132,216,540,54,0,0,0,0,0,0,0,0,216,0,54,162,594,486,216,108,3889,7778,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-31,DFO2,51.52022009,-127.5582347,7.57125,27.97505,0.009547092996533826,7.0331304244020885,1.0982750000000001,8.88205,115,2.0511677580293117,10.5513680564737,19.0974482198667,0.905,3,NA,NA,NA,NA,NA,NA,NA,NA,720,6048,4464,0,0,2016,0,144,288,1152,13968,0,0,63000,42000,144,144,144,1728,4032,576,0,1008,409312,864,4176,139400,13968,0,7000,288,288,7776,0,7000,32344,0,0,576,0,0,20448,0,0,0,0,0,0,0,7000,0,0,0,144,0,0,144,2160,2880,288,0,7000,0,0,144,432,144,2448,1584,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-22,QCS01,51.70550659,-128.2385427,8.6587,31.5551,3.686250531289265e-5,0.34243013357991003,NA,0.7707,125,0.6320018709073911,6.70268838773812,12.1081896588063,0.754075737467918,12,NA,NA,NA,NA,NA,NA,NA,NA,222,814,2072,0,0,1036,0,1036,1332,370,4884,7500,74,65000,35000,444,148,0,148,444,888,148,6110,23671,962,1702,1406,1406,0,5000,296,222,0,296,7500,10000,0,0,740,0,0,0,148,10146,0,0,0,0,0,0,0,0,0,666,0,0,74,1258,0,296,0,0,0,0,0,666,222,0,0,0,148,1184,74,592,444,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
