cast_pk,station,Latitude,Longitude,date,year,month,day,rho_2,rho_30,delta_rho
11355,QU39,50.03000515,-125.0988954,2018-01-03T10:17:48Z,2018,1,3,1022.1043522913753,1022.9211931217953,0.8168408304200057
11360,QU39,50.03061923,-125.0993015,2018-01-04T10:24:28Z,2018,1,4,1022.1585415721692,1022.8292401146728,0.670698542503601
11367,QU39,50.03001,-125.0989,2018-01-09T10:16:31Z,2018,1,9,1022.2685245308954,1022.7127230472997,0.44419851640429897
11384,QCS01,51.7049302,-128.2387686,2018-01-10T09:31:50Z,2018,1,10,1024.4699225076345,1024.6680683263846,0.19814581875016302
11385,QCS01,51.70507166,-128.238099,2018-01-10T09:56:30Z,2018,1,10,1024.4687556691904,1024.6692908667576,0.20053519756720561
11396,KC10,51.65064473,-127.9513056,2018-01-11T10:24:35Z,2018,1,11,1023.8573730134258,1024.4476554209166,0.590282407490804
11397,KC10,51.65186518,-127.9513115,2018-01-11T10:42:22Z,2018,1,11,1023.8749432075421,1024.4516737979227,0.5767305903806346
11433,QU39,50.03038194,-125.0995534,2018-01-22T09:33:06Z,2018,1,22,1022.5147111613333,1022.7826237288718,0.2679125675385876
11440,DFO2,51.52001953,-127.559003,2018-01-12T11:07:15Z,2018,1,12,1023.4552231825239,1024.3289455739439,0.8737223914199603
11441,DFO2,51.52091018,-127.5589967,2018-01-12T11:41:16Z,2018,1,12,1023.3587355383273,1024.326480796118,0.9677452577906251
11446,QU39,50.03088098,-125.0968198,2018-01-24T09:14:33Z,2018,1,24,1022.4893057171796,1022.7247319563451,0.2354262391654629
11476,QU39,50.02978597,-125.0977605,2018-01-31T09:10:53Z,2018,1,31,1022.087239140317,1022.4565687228522,0.3693295825352152
11481,QU39,50.0306646,-125.0982871,2018-02-01T08:52:45Z,2018,2,1,1022.1641977092404,1022.3711267308546,0.2069290216142008
11505,QU39,50.03017749,-125.0987314,2018-02-06T09:28:20Z,2018,2,6,1021.874043454953,1022.5123302065101,0.6382867515570751
11507,QU39,50.02939327,-125.0973157,2018-02-13T10:28:26Z,2018,2,13,1022.057578355469,1022.8518194909681,0.7942411354990782
11510,QU39,50.03174622,-125.1012335,2018-02-14T09:29:07Z,2018,2,14,1021.9656924429073,1022.753918385452,0.7882259425447273
11553,QU39,50.03521469,-125.1031075,2018-02-19T09:43:23Z,2018,2,19,1022.3073972757041,1022.8031749638932,0.4957776881890368
11559,KC10,51.64999598,-127.9495424,2018-02-19T11:20:27Z,2018,2,19,1023.7592615421408,1024.2662980551413,0.5070365130004575
