date,month,month_surv,site_id,temp,sal,N2,delta_rho,turb_cor,flu,dep_26,no2_no3_um,po4,sio2,secchi_depth,zeu_dm,micro_chl,nano_chl,pico_chl,micro_perc,nano_perc,pico_perc,bulk_chl,fecal,dino_het,ciliates,Chaetoceros seiracanthus,Chaetoceros similis,Cylindrotheca closterium,Paralia sulcata,Pseudo-nitzschia seriata,Rhizosolenia setigera,Thalassionema nitzschioides,Thalassiosira,Dinobryon,Myrionecta rubra,Hillea,Teleaulax,Dictyocha speculum,Dictyocha,Dinophysis acuminata,Gymnodinium,Gyrodinium,Dinophyceae,Euglenozoa,Pennales,Skeletonema marinoi,Chaetoceros,Oligotrichea,Pseudo-nitzschia,Chaetoceros debilis,Ditylum brightwellii,Pyramimonas orientalis,Tintinnina,Katodinium,Phaeocystis pouchetii,Biddulphiales,Chaetoceros tenuissimus,Chaetoceros socialis,Ciliophrys infusionum,Ceratium fusus,Ebria tripartita,Chaetoceros convolutus,Chaetoceros decipiens,Thalassiosira pacifica,Chaetoceros laciniosus,Dactyliosolen fragilissimus,Licmophora,Pyramimonas grossii,Tetraselmis gracilis,Apedinella spinifera,Chrysochromulina,Teleaulax acuta,Teleaulax amphioxeia,Protoperidinium,Protoperidinium steinii,Scrippsiella precaria,Scrippsiella trochoidea,Achnanthes,Chaetoceros ceratosporus,Chaetoceros cinctus,Chaetoceros radicans,Corethron criophilum,Stephanopyxis turris,Pterosperma,Ochromonas,Oxyphysis oxytoxoides,Chaetoceros danicus,Dactyliosolen phuketensis,Leptocylindrus danicus,Thalassiosira nordenskioeldii,Thalassiosira rotula,Gonyaulax,Asterionellopsis glacialis,Bacterosira,Chaetoceros simplex,Fragilariopsis,Guinardia delicatula,Dinophysis fortii,Pyramimonas,Eucampia zodiacus,Ceratium lineatum,Cerataulina bicornis,Thalassiosira anguste-lineata,Pleurosigma,Chrysophyceae,Katodinium glaucum,Attheya,Bacteriastrum,Chaetoceros diadema,Chaetoceros didymus,Eucampia groenlandica,Ceratium divaricatum,Ceratium horridum,Dinophysis rotundata,Eutreptiella hirudoidea,Coscinodiscus,Dinophysis acuta,Dinophysis,Pyrocystis lunula,Chaetoceros subtilis,Navicula,Prorocentrum gracile,Asteromphalus heptactis,Detonula pumila,Alexandrium catenella,Prorocentrum micans,Odontella longicruris,Dictyocha fibula,Protoperidinium conicum,Bacillariophyceae,Meringosphaera mediterranea,Membraneis challengeri,Asterionellopsis kariana,Prorocentrum,Dictyocha octonaria,Amylax triacantha,Oxytoxum,Meringosphaera,Heterosigma akashiwo,Olisthodiscus,Raphidophyceae,Cerataulina pelagica,Corythodinium,Ceratium furca,Bacteriastrum delicatulum,Chaetoceros compressus,Ceratium symmetricum,Ceratium tripos,Ceratium,Prorocentrum minimum,cyan,pela,hapt,pras2,pras3,cryp,dino,raph,diat
2018-05-23,5,5,KC10,12.162522222222222,25.052866666666667,0.015460402805899633,8.173927967536303,1.219880341880342,7.420722222222222,102,0.08892948636006706,0.0290680476531357,3.549462845138075,3.5,15,4.29710142284257,0.994270689168821,0.743591210104591,0.7120343891892815,0.1647517368540045,0.12321387395671406,8.29996747563963,200,2000,4400,0,2800,0,0,7000,200,1600,31000,11666,200,93328,116660,800,400,0,800,1200,800,2800,2200,1156000,4000,2600,24200,21200,0,0,1600,0,0,23333,200,0,23332,0,200,0,0,0,400,16400,0,40831,0,17499,0,5833,5833,400,600,1000,400,0,0,0,1200,0,0,0,0,0,0,200,1800,0,400,0,0,0,0,0,800,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,5,5,QCS01,11.25788,30.99833,9.969698668670516e-4,0.7020003951110994,7.40016923076923,1.07683,89.5,1.34716006886366,0.311629896060179,4.4710027753947745,7.5,31.5,0.61155741488719,0.77615366182977,0.503444895656274,0.3233775657962994,0.4104122944739273,0.26621013972977337,1.89160606895012,534,712,16501,0,0,623,0,534,0,89,1157,0,623,198339,50557,356,89,267,267,445,0,89,712,43374,0,15700,2403,1157,0,50557,178,0,0,0,0,11433,0,0,1691,356,0,0,0,979,0,19445,0,0,0,7778,0,534,0,89,178,0,0,356,2136,0,0,3889,0,0,0,8099,1513,0,178,0,0,623,0,0,267,89,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-30,5,5,DFO2,10.437940000000001,21.40755,0.0300406792391814,12.12601787668848,1.3725692307692308,4.92633,88.5,4.089144472453365,0.3536112054751334,20.61234455420405,3.5,27.5,3.22632053553038,0.318757717214444,0.352629746417101,0.8277481371678164,0.08178080997421626,0.09047105285796743,8.46044047605122,1008,432,7776,576,0,2448,0,10080,0,3168,10800,0,2016,78068,34996,720,144,144,288,144,432,0,864,347310,1584,5472,21168,3312,0,5384,288,0,0,0,5529,0,2692,0,432,0,0,5184,288,5328,0,0,0,0,0,2692,10768,144,144,720,3888,0,0,4608,576,0,0,0,0,0,0,144,1584,0,576,0,0,0,0,0,0,0,0,0,0,576,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-19,6,6,DFO2,11.27306,25.757740000000002,0.01945556997009861,6.9615125153886765,1.8056999999999999,2.21572,88,5.554639721178773,0.4808933693385708,13.29665144383075,3.5,23,0.788870021022774,1.04070584116707,1.84274175251178,0.21481530297505866,0.2833921110202303,0.5017925860047111,3.41107217503975,702,594,5454,108,0,1458,0,486,0,2268,6642,14000,1620,532000,161000,378,54,972,54,432,432,0,8188,22436,0,3024,594,0,0,14000,810,54,0,0,0,0,0,0,5940,0,0,0,0,0,0,0,14000,0,0,7000,0,54,0,0,54,0,54,540,0,162,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,108,0,0,0,0,0,54,7000,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-27,6,6,KC10,13.10098,28.586380000000002,0.002614138429617093,3.358040261826659,2.2521000000000004,2.4379,86,0.15171679539222035,0.0464824918939788,0.481219375941025,5,15,1.85259694502256,0.237101377178792,0.185247537371096,0.8143477073211474,0.10422286586782892,0.08142942681102368,3.45977138067351,576,1152,2880,1872,3456,288,0,1152,720,3888,7920,0,576,29612,16152,1008,144,288,864,0,1008,0,5672,447000,1584,1152,432,22000,0,2692,1152,144,2448,432,2692,21744,0,0,576,0,0,0,1728,576,0,0,0,2692,0,2692,0,288,576,288,0,0,288,3024,0,0,0,0,0,0,432,1872,10368,0,1440,0,0,0,0,0,144,144,0,0,432,0,0,576,0,144,5385,3744,1008,432,288,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14,7,7,QCS01,10.48898,30.641280000000002,0.00205736434541294,1.6660004157620278,0.9834249999999999,6.29286,71,4.268320913706958,0.3575393702436729,7.707353480391057,4.5,15,NA,0.184787262730912,0.0663830251633924,NA,0.7357051038165502,0.26429489618344987,9.30713942548468,144,720,1296,0,2304,1728,0,4032,720,1152,18288,5250,288,26250,14000,288,0,0,432,288,144,144,2182,365304,4320,1008,7920,16848,0,1750,0,0,0,0,144,32200,0,144,288,0,0,0,1152,432,0,0,0,0,0,0,0,288,432,0,144,0,144,14112,3744,144,0,0,0,0,0,576,21400,864,1728,0,2160,0,0,0,0,0,0,0,0,0,0,288,0,0,1750,0,1728,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-15,7,7,KC10,12.134979999999999,29.13104,0.0054979910597828564,3.515719017280162,2.400025,5.54605,78.5,0.0752139823941772,0,0,5,10,1.10478127320198,0.191898336287372,0.195760911308378,0.7402514591412053,0.12858022387706258,0.1311683169817321,4.96267608143591,144,720,864,4752,1872,1584,0,8352,1728,6768,9504,0,288,3000,0,144,0,0,0,288,144,0,22152,614000,8352,576,5328,16416,0,0,0,432,12000,144,3144,21000,0,0,0,0,0,0,2304,1008,0,9000,0,0,0,3000,0,432,0,144,0,0,144,18000,2448,0,0,0,0,0,144,1296,17424,0,0,0,6768,0,0,0,0,0,0,0,432,0,0,432,0,0,6000,0,0,0,0,0,0,0,0,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-24,7,7,DFO2,13.19511,22.15578,0.027471744590693167,12.674881293451733,2.434225,2.68547,67.5,5.590113623265753,0.47572410469495197,21.6555026804321,3,31.5,1.21899214869135,0.547353060717201,0.775293050033258,0.47960882873987865,0.2153544308218786,0.30503674043824264,2.38914146796688,623,2403,11303,0,0,890,0,1068,623,11100,9256,0,3560,76368,120916,445,178,0,801,1513,356,0,1157,225764,356,6052,267,1246,0,44548,1691,89,0,0,3182,0,0,0,1335,0,0,0,0,89,0,9546,9546,0,0,22274,3182,89,0,0,712,0,89,0,0,0,0,0,0,0,0,0,4183,0,0,89,0,0,0,0,1246,89,0,0,0,0,0,89,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-19,8,8,KC10,14.2619,27.738879999999998,0.002439194694578954,4.799679812465342,0.7742833333333333,5.7689,81,0.1655668076417405,0.10907069772095751,5.934975285851506,5,19,1.80844563733844,1.33586289138887,1.15398712020871,0.4207355158982827,0.3107889732339708,0.2684755108677465,5.82230230215179,62,806,9380,372,0,1612,0,2046,51004,310,2170,26250,186,612500,367500,186,310,62,186,248,372,496,1488,1922,930,9194,62,4402,0,8750,0,372,43750,79370,0,78750,8750,0,124,0,186,0,744,620,0,35000,0,17500,0,0,0,310,62,248,248,0,0,372,0,0,0,35000,0,0,186,62,868,0,124,62,0,0,0,0,248,0,8750,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,186,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-21,8,8,DFO2,11.997442857142858,23.150042857142857,0.025378680284175514,18.44118937471535,2.4360833333333334,4.061214285714286,76.42857142857143,2.4213839559972485,0.25653408530446103,14.67638276594499,2,12,4.32659575393183,0.62634218272122,0.354515515366751,0.815192406875524,0.11801180893689414,0.06679578418758186,5.17713466046785,814,740,3774,0,0,666,0,4144,740,10064,2442,0,1480,55423,43755,148,592,222,148,518,444,0,12334,337330,1110,2072,3330,20800,0,5834,222,74,0,0,20419,1776,0,0,814,0,0,0,814,148,0,5834,2917,11668,0,5834,0,148,148,74,148,0,2917,7696,0,222,74,2917,0,0,74,74,1628,0,0,0,0,0,148,0,444,0,0,740,0,0,222,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,5834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
