date,month,month_surv,site_id,temp_dm,sal_dm,N2_dm,delta_rho_dm,turb_dm,no2_dm,sio2_dm,po4_dm,secchi_depth,micro_chl,nano_chl,pico_chl,micro_perc,nano_perc,pico_perc,bulk_chl,Chaetoceros seiracanthus,Chaetoceros similis,Cylindrotheca closterium,Paralia sulcata,Pseudo-nitzschia delicatissima,Pseudo-nitzschia multiseries,Pseudo-nitzschia seriata,Rhizosolenia setigera,Thalassionema nitzschioides,Thalassiosira,Dinobryon,Hillea,Teleaulax,Dictyocha speculum,Dictyocha,Dinophysis acuminata,Gymnodinium,Gyrodinium,Dinophyceae,Euglenozoa,Pennales,Skeletonema marinoi,Chaetoceros,Chaetoceros debilis,Ditylum brightwellii,Pyramimonas orientalis,Katodinium,Phaeocystis pouchetii,Biddulphiales,Chaetoceros tenuissimus,Chaetoceros socialis,Ciliophrys infusionum,Ceratium fusus,Ebria tripartita,Chaetoceros convolutus,Chaetoceros decipiens,Thalassiosira pacifica,Chaetoceros laciniosus,Dactyliosolen fragilissimus,Licmophora,Pyramimonas grossii,Tetraselmis gracilis,Apedinella spinifera,Chrysochromulina,Teleaulax acuta,Teleaulax amphioxeia,Cyanobacteria,Protoperidinium,Protoperidinium steinii,Scrippsiella precaria,Scrippsiella trochoidea,Achnanthes,Chaetoceros ceratosporus,Chaetoceros cinctus,Chaetoceros radicans,Corethron criophilum,Stephanopyxis turris,Pterosperma,Ochromonas,Oxyphysis oxytoxoides,Chaetoceros danicus,Dactyliosolen phuketensis,Leptocylindrus danicus,Thalassiosira nordenskioeldii,Thalassiosira rotula,Gonyaulax,Asterionellopsis glacialis,Bacterosira,Chaetoceros simplex,Fragilariopsis,Guinardia delicatula,Dinophysis fortii,Pyramimonas,Eucampia zodiacus,Ceratium lineatum,Cerataulina bicornis,Thalassiosira anguste-lineata,Pleurosigma,Chrysophyceae,Katodinium glaucum,Attheya,Bacteriastrum,Chaetoceros diadema,Chaetoceros didymus,Eucampia groenlandica,Ceratium divaricatum,Ceratium horridum,Dinophysis rotundata,Eutreptiella hirudoidea,Coscinodiscus,Dinophysis acuta,Dinophysis,Pyrocystis lunula,Chaetoceros subtilis,Navicula,Prorocentrum gracile,Asteromphalus heptactis,Detonula pumila,Alexandrium catenella,Prorocentrum micans,Odontella longicruris,Dictyocha fibula,Protoperidinium conicum,Bacillariophyceae,Meringosphaera mediterranea,Membraneis challengeri,Asterionellopsis kariana,Prorocentrum,Dictyocha octonaria,Amylax triacantha,Oxytoxum,Meringosphaera,Heterosigma akashiwo,Olisthodiscus,Raphidophyceae,Cerataulina pelagica,Corythodinium,Ceratium symmetricum,Ceratium tripos,Ceratium furca,Bacteriastrum delicatulum,Chaetoceros compressus,Ceratium,Prorocentrum minimum,Melosira,Grammatophora,Stephanopyxis nipponica,Octactis octonaria,Noctiluca scintillans,Actinoptychus senarius,Chaetoceros mitra,Protoperidinium leonis,Protoperidinium oblongum,Cocconeis,Chaetoceros concavicornis,Chrysochromulina hirta,Hemiaulus hauckii,Biddulphia,Tabellaria
2018-05-23,5,5,KC10,11.2134,29.45365,0.005517089513099803,8.18181493494302,0.9077692307692304,0.0656768525065621,2.13330006673911,0.0431001120783333,3.5,4.29710142284257,0.994270689168821,0.743591210104591,0.7120343891892815,0.1647517368540045,0.12321387395671406,8.29996747563963,0,2800,0,0,7200,17000,7000,200,1600,31000,11666,93328,116660,800,400,0,800,1200,800,2800,2200,1156000,4000,21200,0,0,0,0,23333,200,0,23332,0,0,0,0,0,400,16400,0,40831,0,17499,0,5833,5833,0,400,600,1000,400,0,0,0,1200,0,0,0,0,0,0,200,1800,0,400,0,0,0,0,0,800,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-29,5,5,QCS01,11.1817,31.1393,2.864249451747207e-5,0.7020003951110994,0.7082692307692308,1.33228695874117,4.41584218476902,0.300077059989726,7.5,0.61155741488719,0.77615366182977,0.503444895656274,0.3233775657962994,0.4104122944739273,0.26621013972977337,1.89160606895012,0,0,623,0,1602,801,534,0,89,1157,0,198339,50557,356,89,267,267,445,0,89,712,43374,0,1157,0,50557,0,0,0,0,11433,0,0,0,356,0,0,0,979,0,19445,0,0,0,7778,0,0,534,0,89,178,0,0,356,2136,0,0,3889,0,0,0,8099,1513,0,178,0,0,623,0,0,267,89,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,5,5,DFO2,9.2187,27.872700000000002,0.005584864954199241,12.12601787668848,0.7467692307692307,8.13298786714879,19.0958813932622,0.672111972005526,3.5,3.22632053553038,0.318757717214444,0.352629746417101,0.8277481371678164,0.08178080997421626,0.09047105285796743,8.46044047605122,576,0,2448,0,7200,13968,10080,0,3168,10800,0,78068,34996,720,144,144,288,144,432,0,864,347310,1584,3312,0,5384,0,0,0,5529,0,2692,0,432,0,0,5184,288,5328,0,0,0,0,0,2692,10768,0,144,144,720,3888,0,0,4608,576,0,0,0,0,0,0,144,1584,0,576,0,0,0,0,0,0,0,0,0,0,576,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-19,6,6,DFO2,9.4239,29.4013,7.574434922214263e-4,6.9615125153886765,0.4305,10.8066666958892,16.5034524824275,0.90485478773015,3.5,0.788870021022774,1.04070584116707,1.84274175251178,0.21481530297505866,0.2833921110202303,0.5017925860047111,3.41107217503975,108,0,1458,0,216,378,486,0,2268,6642,14000,532000,161000,378,54,972,54,432,432,0,8188,22436,0,0,0,14000,54,0,0,0,0,0,0,5940,0,0,0,0,0,0,0,14000,0,0,7000,0,1188,54,0,0,54,0,54,540,0,162,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,108,0,0,0,0,0,54,7000,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-27,6,6,KC10,12.4381,29.0245,0.003918259489861131,3.358040261826659,0.5695000000000001,0.0941194479325657,0.427614265700039,0.0339856818662154,5,1.85259694502256,0.237101377178792,0.185247537371096,0.8143477073211474,0.10422286586782892,0.08142942681102368,3.45977138067351,1872,3456,288,0,0,432,1152,720,3888,7920,0,29612,16152,1008,144,288,864,0,1008,0,5672,447000,1584,22000,0,2692,144,2448,432,2692,21744,0,0,0,0,0,0,1728,576,0,0,0,2692,0,2692,0,0,288,576,288,0,0,288,3024,0,0,0,0,0,0,432,1872,10368,0,1440,0,0,0,0,0,144,144,0,0,432,0,0,576,0,144,5385,3744,1008,432,288,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-14,7,7,QCS01,10.2671,31.0938,1.5692882653083344e-4,1.6660004157620278,0.6938249999999999,8.46413780855588,14.8760545378909,0.710899792298113,4.5,NA,0.184787262730912,0.0663830251633924,NA,0.7357051038165502,0.26429489618344987,9.30713942548468,0,2304,1728,0,4176,3744,4032,720,1152,18288,5250,26250,14000,288,0,0,432,288,144,144,2182,365304,4320,16848,0,1750,0,0,0,144,32200,0,144,0,0,0,0,1152,432,0,0,0,0,0,0,0,10500,288,432,0,144,0,144,14112,3744,144,0,0,0,0,0,576,21400,864,1728,0,2160,0,0,0,0,0,0,0,0,0,0,288,0,0,1750,0,1728,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-15,7,7,KC10,10.634699999999999,30.2745,0.001066274565777302,3.515719017280162,1.344325,0.0712811523881344,0,0,5,1.10478127320198,0.191898336287372,0.195760911308378,0.7402514591412053,0.12858022387706258,0.1311683169817321,4.96267608143591,4752,1872,1584,0,1152,4176,8352,1728,6768,9504,0,3000,0,144,0,0,0,288,144,0,22152,614000,8352,16416,0,0,432,12000,144,3144,21000,0,0,0,0,0,0,2304,1008,0,9000,0,0,0,3000,0,0,432,0,144,0,0,144,18000,2448,0,0,0,0,0,144,1296,17424,0,0,0,6768,0,0,0,0,0,0,0,432,0,0,432,0,0,6000,0,0,0,0,0,0,0,0,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-15,7,7,KC10,10.634699999999999,30.2745,0.001066274565777302,3.515719017280162,1.344325,0.0712811523881344,0,0,5,1.10478127320198,0.191898336287372,0.195760911308378,0.7402514591412053,0.12858022387706258,0.1311683169817321,4.96267608143591,4752,1872,1584,0,1152,4176,8352,1728,6768,9504,0,3000,0,144,0,0,0,288,144,0,22152,614000,8352,16416,0,0,432,12000,144,3144,21000,0,0,0,0,0,0,2304,1008,0,9000,0,0,0,3000,0,0,432,0,144,0,0,144,18000,2448,0,0,0,0,0,144,1296,17424,0,0,0,6768,0,0,0,0,0,0,0,432,0,0,432,0,0,6000,0,0,0,0,0,0,0,0,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-24,7,7,DFO2,10.26935,29.3778,0.005547494561637333,12.674881293451733,0.48382499999999995,11.0956271085232,21.2418502551465,0.928460594105564,3,1.21899214869135,0.547353060717201,0.775293050033258,0.47960882873987865,0.2153544308218786,0.30503674043824264,2.38914146796688,0,0,890,0,267,0,1068,623,11100,9256,0,76368,120916,445,178,0,801,1513,356,0,1157,225764,356,1246,0,44548,89,0,0,3182,0,0,0,1335,0,0,0,0,89,0,9546,9546,0,0,22274,3182,0,89,0,0,712,0,89,0,0,0,0,0,0,0,0,0,4183,0,0,89,0,0,0,0,1246,89,0,0,0,0,0,89,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-19,8,8,KC10,14.3392,28.6314,8.130120127742759e-4,4.799679812465342,0.8490833333333333,0.154255043806208,7.5578559428211,0.117538116224042,5,1.80844563733844,1.33586289138887,1.15398712020871,0.4207355158982827,0.3107889732339708,0.2684755108677465,5.82230230215179,372,0,1612,0,0,62,2046,51004,310,2170,26250,612500,367500,186,310,62,186,248,372,496,1488,1922,930,4402,0,8750,372,43750,79370,0,78750,8750,0,0,0,186,0,744,620,0,35000,0,17500,0,0,0,0,310,62,248,248,0,0,372,0,0,0,35000,0,0,186,62,868,0,124,62,0,0,0,0,248,0,8750,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,186,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
