date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,species_sum,count
2018-05-23,5,5,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,800,2000
2018-05-29,5,5,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,267,712
2018-05-30,5,5,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,288,432
2018-06-19,6,6,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,54,594
2018-06-27,6,6,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,864,1152
2018-07-14,7,7,QCS01,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,432,720
2018-07-15,7,7,KC10,hetero,Dinoflagellata,dino_het,109476,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,288,720
2018-07-24,7,7,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,801,2403
2018-08-19,8,8,KC10,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,186,806
2018-08-21,8,8,DFO2,hetero,Dinoflagellata,dino_het,109475,dino_het,dino_het,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,148,740
