date,site,clust_abund
2018-01-10,S,1
2018-01-11,C,1
2018-01-12,F,2
2018-02-19,C,2
2018-03-24,S,3
2018-03-27,C,1
2018-03-31,F,4
2018-04-22,S,1
2018-04-25,F,3
2018-04-28,C,3
2018-05-23,C,3
2018-05-29,S,3
2018-05-30,F,3
2018-06-19,F,3
2018-06-27,C,4
2018-07-14,S,1
2018-07-15,C,5
2018-07-24,F,3
2018-08-19,C,3
2018-08-21,F,4
2018-08-28,S,3
2018-09-11,C,3
2018-09-13,S,3
2018-09-14,F,3
2018-10-23,C,3
2018-11-21,C,3
2018-11-22,F,1
2019-01-21,C,1
2019-01-24,F,2
2019-02-14,C,2
2019-02-19,F,2
2019-03-13,C,3
2019-03-15,F,1
2019-04-18,C,4
2019-04-19,F,3
2019-05-11,C,3
2019-05-13,S,3
2019-05-14,F,6
2019-06-09,S,7
2019-06-10,C,3
2019-06-11,F,3
2019-07-06,F,3
2019-07-07,S,4
2019-07-10,C,4
2019-08-03,C,3
2019-08-05,F,3
2019-08-06,S,3
2019-08-31,S,3
2019-09-01,C,3
2019-09-02,F,4
2019-10-01,C,3
2019-10-04,F,3
2019-10-05,S,3
2019-11-25,F,2
2019-11-26,C,4
2019-11-28,S,1
2020-02-11,C,1
2020-02-12,F,3
2020-04-30,C,4
2020-05-01,S,4
2020-05-04,F,4
2020-06-04,C,4
2020-06-06,F,3
2020-06-08,S,4
2020-07-02,C,3
2020-07-05,S,3
2020-07-06,F,3
2020-08-07,C,3
2020-08-08,F,4
2020-09-03,C,3
2020-09-04,S,3
2020-09-05,F,3
2020-10-01,C,4
2020-10-02,S,4
2020-10-04,F,3
2020-11-04,C,3
2020-11-27,C,2
2020-11-30,F,2
