date,site_id,sample_name,cluster
2018-01-10,QCS01,S2018-01-10,1
2018-01-11,KC10,C2018-01-11,2
2018-01-12,DFO2,F2018-01-12,1
2018-02-19,KC10,C2018-02-19,1
2018-03-24,QCS01,S2018-03-24,3
2018-03-27,KC10,C2018-03-27,4
2018-03-31,DFO2,F2018-03-31,5
2018-04-22,QCS01,S2018-04-22,4
2018-04-25,DFO2,F2018-04-25,3
2018-04-28,KC10,C2018-04-28,3
2018-05-23,KC10,C2018-05-23,4
2018-05-29,QCS01,S2018-05-29,3
2018-05-30,DFO2,F2018-05-30,4
2018-06-19,DFO2,F2018-06-19,3
2018-06-27,KC10,C2018-06-27,5
2018-07-14,QCS01,S2018-07-14,5
2018-07-15,KC10,C2018-07-15,5
2018-07-24,DFO2,F2018-07-24,4
2018-08-19,KC10,C2018-08-19,3
2018-08-21,DFO2,F2018-08-21,4
2018-08-28,QCS01,S2018-08-28,6
2018-09-11,KC10,C2018-09-11,6
2018-09-13,QCS01,S2018-09-13,3
2018-09-14,DFO2,F2018-09-14,3
2018-10-23,KC10,C2018-10-23,3
2018-11-21,KC10,C2018-11-21,2
2018-11-22,DFO2,F2018-11-22,2
2019-01-21,KC10,C2019-01-21,2
2019-01-24,DFO2,F2019-01-24,1
2019-02-14,KC10,C2019-02-14,1
2019-02-19,DFO2,F2019-02-19,1
2019-03-13,KC10,C2019-03-13,3
2019-03-15,DFO2,F2019-03-15,4
2019-04-18,KC10,C2019-04-18,4
2019-04-19,DFO2,F2019-04-19,4
2019-05-11,KC10,C2019-05-11,3
2019-05-13,QCS01,S2019-05-13,5
2019-05-14,DFO2,F2019-05-14,5
2019-06-09,QCS01,S2019-06-09,6
2019-06-10,KC10,C2019-06-10,6
2019-06-11,DFO2,F2019-06-11,4
2019-07-06,DFO2,F2019-07-06,4
2019-07-07,QCS01,S2019-07-07,6
2019-07-10,KC10,C2019-07-10,5
2019-08-03,KC10,C2019-08-03,6
2019-08-05,DFO2,F2019-08-05,3
2019-08-06,QCS01,S2019-08-06,6
2019-08-31,QCS01,S2019-08-31,3
2019-09-01,KC10,C2019-09-01,3
2019-09-02,DFO2,F2019-09-02,4
2019-10-01,KC10,C2019-10-01,4
2019-10-04,DFO2,F2019-10-04,3
2019-10-05,QCS01,S2019-10-05,6
2019-11-25,DFO2,F2019-11-25,1
2019-11-26,KC10,C2019-11-26,2
2019-11-28,QCS01,S2019-11-28,1
2020-02-11,KC10,C2020-02-11,2
2020-02-12,DFO2,F2020-02-12,3
2020-04-30,KC10,C2020-04-30,5
2020-05-01,QCS01,S2020-05-01,5
2020-05-04,DFO2,F2020-05-04,4
2020-06-04,KC10,C2020-06-04,4
2020-06-06,DFO2,F2020-06-06,4
2020-06-08,QCS01,S2020-06-08,5
2020-07-02,KC10,C2020-07-02,4
2020-07-05,QCS01,S2020-07-05,4
2020-07-06,DFO2,F2020-07-06,4
2020-08-07,KC10,C2020-08-07,4
2020-08-08,DFO2,F2020-08-08,4
2020-09-03,KC10,C2020-09-03,4
2020-09-04,QCS01,S2020-09-04,3
2020-09-05,DFO2,F2020-09-05,4
2020-10-01,KC10,C2020-10-01,4
2020-10-02,QCS01,S2020-10-02,4
2020-10-04,DFO2,F2020-10-04,4
2020-11-04,KC10,C2020-11-04,2
2020-11-27,KC10,C2020-11-27,1
2020-11-30,DFO2,F2020-11-30,1
