date,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,count,species_sum
2018-01-03,QU39,auto,Bacillariophyta,Corethron criophilum,149110,Corethron criophillum,Corethron criophilum,Species,Chromista,Ochrophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,NA,NA,NA,80,80
2018-01-03,QU39,auto,Bacillariophyta,Cylindrotheca closterium,149004,Cylindrotheca closterium,Cylindrotheca closterium,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,NA,NA,NA,40,40
2018-01-03,QU39,auto,Bacillariophyta,Dactyliosolen phuketensis,248064,Dactyliosolen phuketensis,Rhizosolenia phuketensis,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA,80,80
2018-01-03,QU39,auto,Bacillariophyta,Ditylum brightwellii,149023,Ditylum brightwellii,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA,80,80
2018-01-03,QU39,auto,Bacillariophyta,Paralia sulcata,149055,Paralia sulcata,Paralia sulcata,Species,Chromista,Ochrophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,NA,NA,NA,80,80
2018-01-03,QU39,auto,Bacillariophyta,Pseudo-nitzschia seriata,149152,Pseudo-nitzschia seriata,Pseudo-nitzschia seriata,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,40,40
2018-01-03,QU39,auto,Bacillariophyta,Thalassiosira,148912,Thalassiosira,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,spp. Indet.,NA,160,160
2018-01-03,QU39,auto,Chlorophyta-Prasinophyta,Pyramimonas orientalis,547692,Pyramimonas orientalis,Pyramimonas orientalis,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA,7000,7000
2018-01-03,QU39,hetero,Choanoflagellata,Parvicorbicula socialis,105588,Parvicorbicula socialis,Parvicorbicula socialis,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA,1750,1750
2018-01-03,QU39,hetero,Choanoflagellata,Choanozoa,562870,Choanozoa,Choanozoa,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,Indet.,NA,10500,10500
