date,month,season,yday,site_id,Biddulphiales,Chaetoceros,Chaetoceros cinctus,Chaetoceros debilis,Chaetoceros subtilis,Corethron criophilum,Cylindrotheca closterium,Dactyliosolen fragilissimus,Detonula pumila,Dictyocha speculum,Dinophyceae,Guinardia delicatula,Gymnodinium,Gyrodinium,Hillea,Leptocylindrus danicus,Pennales,Pseudo-nitzschia delicatissima,Pseudo-nitzschia multiseries,Pseudo-nitzschia seriata,Pyramimonas orientalis,Rhizosolenia setigera,Scrippsiella precaria,Scrippsiella trochoidea,Skeletonema marinoi,Teleaulax,Thalassionema nitzschioides,Thalassiosira,Thalassiosira pacifica,Chaetoceros convolutus,Chaetoceros similis,Chaetoceros socialis,Chaetoceros tenuissimus,Ciliophrys infusionum,Dinobryon,Euglenozoa,Ochromonas,Phaeocystis pouchetii,Protoperidinium,Pterosperma,Pyramimonas grossii,Teleaulax amphioxeia,Apedinella spinifera,Asterionellopsis glacialis,Chaetoceros decipiens,Chaetoceros didymus,Chaetoceros laciniosus,Chaetoceros radicans,Chaetoceros seiracanthus,Chaetoceros simplex,Dactyliosolen phuketensis,Eutreptiella hirudoidea,Katodinium,Pleurosigma,Thalassiosira nordenskioeldii,Thalassiosira rotula,Attheya,Dictyocha,Dinophysis acuminata,Pyramimonas,Chrysophyceae,Tetraselmis gracilis,Eucampia zodiacus,Membraneis challengeri,Navicula,Protoperidinium steinii,Pyrocystis lunula,Chaetoceros ceratosporus,Chaetoceros danicus,Fragilariopsis,Katodinium glaucum,Meringosphaera mediterranea,Asterionellopsis kariana,Bacillariophyceae,Gonyaulax,Dinophysis acuta,Ceratium lineatum,Prorocentrum micans,Ceratium fusus,Ceratium horridum,Paralia sulcata,Dictyocha fibula,Dinophysis fortii,Prorocentrum,Amylax triacantha,Coscinodiscus,Dictyocha octonaria,Oxytoxum,Teleaulax acuta,Alexandrium catenella,Cerataulina bicornis,Dinophysis,Ditylum brightwellii,Eucampia groenlandica,Hemiaulus hauckii,Heterosigma akashiwo,Meringosphaera,Odontella longicruris,Oxyphysis oxytoxoides,Prorocentrum gracile,Olisthodiscus,Protoperidinium conicum,Dinophysis rotundata,Licmophora,Ceratium divaricatum
2019-05-14,5,spring,134,DFO2,623,623,1691,0,0,0,14832,0,0,623,801,267,4361,712,0,1780,26983,1335,7565,356,0,0,0,0,429000,70002,0,178,0,0,0,0,1190034,0,70002,0,0,186672,0,0,11667,0,23334,0,0,0,623,0,0,89,0,0,89,89,0,0,11667,89,89,11667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,6,spring,162,DFO2,18508,3312,2592,4032,0,0,2448,288,0,0,720,0,288,576,105000,288,15717,2736,6624,12528,0,288,144,144,840800,48125,288,1584,0,0,0,2880,13269,288,17500,4375,0,17500,144,0,0,0,0,0,0,288,432,864,0,0,576,0,144,0,0,432,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,576,13824,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06,7,summer,187,DFO2,105000,0,2016,0,0,0,1008,1296,0,288,432,2016,720,0,166250,864,29418,432,3888,20600,61250,432,144,288,1106000,280000,26800,17712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750,3600,0,288,288,0,1296,0,144,864,0,0,0,288,0,0,0,0,0,144,0,0,0,0,24200,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-05,8,summer,217,DFO2,11845,0,0,0,0,0,267,0,0,712,890,0,801,178,361677,0,24223,0,0,356,221673,0,0,0,72816,210006,6408,801,0,0,0,267,0,89,0,356,23333,350010,0,23333,58335,0,11667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11667,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,3026,4272,534,89,89,11667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02,9,summer,245,DFO2,11799,0,576,0,0,0,912,192,0,528,240,0,192,336,121923,144,192,0,336,528,7866,240,0,0,1053927,94392,2352,960,0,0,0,6,7866,3933,0,240,0,11799,96,3933,0,3933,0,0,0,0,0,0,0,48,0,0,48,0,0,0,0,192,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,1776,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-04,10,autumn,277,DFO2,4375,23636,160,0,0,0,240,0,0,40,0,0,160,80,148750,160,0,0,80,120,30625,0,0,0,4080,153125,320,200,0,0,0,0,4415,4375,0,0,0,0,0,0,21875,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,0,0,0,0,4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,11,autumn,329,DFO2,0,120,0,0,0,0,160,0,0,0,1440,0,920,480,14000,0,3660,0,40,0,0,0,0,0,6208,3500,120,80,0,0,200,0,1750,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,40,0,0,0
2019-05-11,5,spring,131,KC10,630594,144,2448,0,0,0,288,0,0,0,1296,0,864,288,175005,0,14691,12528,13824,10944,11667,0,0,144,147648,443346,288,15696,4320,432,4032,14976,144,576,11667,2736,11667,224694,144,23334,11667,58335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,6,spring,161,KC10,9038,144,0,2736,0,0,5616,1152,0,0,1152,11232,432,0,201250,1152,28410,1152,21400,101232,35000,1728,0,576,217856,78750,2304,46650,0,144,0,1584,35000,0,17500,144,0,8750,144,0,0,0,17500,0,0,0,0,0,5760,0,0,0,432,576,0,0,0,144,0,17500,0,8750,0,0,864,0,0,144,144,144,288,8750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,7,summer,191,KC10,311,6220,84903,45406,0,0,3421,933,0,0,622,12440,0,311,8751,27990,6456,311,123000,69264,0,37009,0,1866,80932,14585,3421,1244,0,933,0,40838,11668,5834,32087,0,0,0,0,29170,0,0,0,3732,0,0,2799,0,622,0,1244,0,1244,311,3110,0,8750,0,622,0,0,0,0,0,311,622,0,0,0,0,311,0,0,0,0,0,0,0,311,311,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
