action,event_pk,rn,is_replicate,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,filtered,filter_type,volume,installed,collected,preserved,analyzed,lab_technician,nh4_,no2_no3_um,no2_no3_ugl,no2_no3_units,tp,tdp,tn,tdn,srp,po4,sio2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,nh4__flag,no2_no3_flag,tp_flag,tdp_flag,tn_flag,tdn_flag,srp_flag,po4_flag,sio2_flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,analyzing_lab,row_flag,metadata_qc_flag,quality_level,comments,quality_log,year,month,day
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3714,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,0,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,26.712,NA,uM,NA,NA,NA,NA,NA,2.254,49.643,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3715,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,5,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,27.034,NA,uM,NA,NA,NA,NA,NA,2.324,51.027,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3716,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,10,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,27.786,NA,uM,NA,NA,NA,NA,NA,2.375,50.09,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3717,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,20,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,28.224,NA,uM,NA,NA,NA,NA,NA,2.408,53.416,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3718,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,30,29.2167854,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,28.729,NA,uM,NA,NA,NA,NA,NA,2.476,52.981,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3719,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,40,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,29.075,NA,uM,NA,NA,NA,NA,NA,2.508,54.699,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3720,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,50,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,29.574,NA,uM,NA,NA,NA,NA,NA,2.603,55.943,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3721,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,75,NA,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,29.974,NA,uM,NA,NA,NA,NA,NA,2.618,54.6,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363209,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,NA,QNUT3722,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,NA,100,100.0077601,NA,0.45nm,13,NA,2018-01-03T19:07:22Z,2018-01-03T20:59:20Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,30.322,NA,uM,NA,NA,NA,NA,NA,2.614,54.425,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
NA,363208,1,NA,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,NA,QNUT3723,M,50.0307000000001,-125.0992,50.03058629,-125.09983523,NA,150,NA,NA,0.45nm,13,NA,2018-01-03T18:42:49Z,2018-01-03T20:59:15Z,2018-05-09T07:00:00Z,brianna.knowles;isabelle.desmarais,NA,30.396,NA,uM,NA,NA,NA,NA,NA,2.615,53.926,NA,NA,NA,NA,NA,NA,AV,AV,AV,AV,AV,AV,AV,AV,NA,NA,NA,NA,NA,UBC,Results,NA,Technicianmr,NA,1: Metadata checked by RW.,2018,1,3
