date,site_id,location,pca_clust
2018-01-11,KC10,C,1
2018-01-12,DFO2,F,1
2018-02-19,KC10,C,1
2018-02-20,DFO2,F,1
2018-02-21,QCS01,S,1
2018-03-24,QCS01,S,1
2018-03-27,KC10,C,1
2018-03-31,DFO2,F,2
2018-04-22,QCS01,S,2
2018-04-25,DFO2,F,2
2018-04-28,KC10,C,2
2018-05-23,KC10,C,3
2018-05-29,QCS01,S,2
2018-05-30,DFO2,F,4
2018-06-19,DFO2,F,4
2018-06-27,KC10,C,3
2018-07-24,DFO2,F,4
2018-08-19,KC10,C,3
2018-08-28,QCS01,S,3
2018-09-11,KC10,C,2
2018-09-13,QCS01,S,2
2018-09-14,DFO2,F,4
2018-10-23,KC10,C,1
2018-11-21,KC10,C,1
2019-01-21,KC10,C,1
2019-01-24,DFO2,F,1
2019-02-14,KC10,C,1
2019-03-13,KC10,C,1
2019-03-15,DFO2,F,2
2019-04-18,KC10,C,2
2019-04-19,DFO2,F,2
2019-05-11,KC10,C,3
2019-05-13,QCS01,S,3
2019-05-14,DFO2,F,4
2019-06-09,QCS01,S,3
2019-06-10,KC10,C,3
2019-06-11,DFO2,F,4
2019-07-06,DFO2,F,4
2019-07-07,QCS01,S,3
2019-07-10,KC10,C,3
2019-08-03,KC10,C,4
2019-08-05,DFO2,F,4
2019-08-06,QCS01,S,3
2019-08-31,QCS01,S,4
2019-09-01,KC10,C,4
2019-09-02,DFO2,F,4
2019-10-01,KC10,C,1
2019-10-04,DFO2,F,1
2019-10-05,QCS01,S,2
2019-11-25,DFO2,F,5
2019-11-26,KC10,C,5
2020-02-11,KC10,C,1
2020-02-12,DFO2,F,1
2020-04-30,KC10,C,2
2020-05-01,QCS01,S,2
2020-05-04,DFO2,F,2
2020-06-06,DFO2,F,4
2020-06-08,QCS01,S,3
2020-07-02,KC10,C,4
2020-07-05,QCS01,S,4
2020-07-06,DFO2,F,4
2020-08-07,KC10,C,3
2020-08-08,DFO2,F,4
2020-09-03,KC10,C,4
2020-09-04,QCS01,S,2
2020-09-05,DFO2,F,4
2020-10-01,KC10,C,4
2020-10-02,QCS01,S,4
2020-10-04,DFO2,F,4
2020-11-04,KC10,C,5
