label,cluster
S2018-01-10,1
C2018-01-11,1
F2018-01-12,1
C2018-02-19,1
F2018-02-20,1
S2018-02-21,1
S2018-03-24,1
C2018-03-27,1
F2018-03-31,2
S2018-04-22,3
F2018-04-25,2
C2018-04-28,4
"NA2018-05-22",4
C2018-05-23,4
S2018-05-29,4
F2018-05-30,2
F2018-06-19,2
"NA2018-06-24",4
C2018-06-27,4
"NA2018-07-14",4
"NA2018-07-15",4
F2018-07-24,2
C2018-08-19,4
F2018-08-21,4
S2018-08-28,4
C2018-09-11,3
S2018-09-13,3
F2018-09-14,2
C2018-10-23,3
C2018-11-21,1
C2019-01-21,1
F2019-01-24,1
C2019-02-14,1
"NA2019-02-15",1
F2019-02-19,1
C2019-03-13,1
F2019-03-15,3
C2019-04-18,3
F2019-04-19,3
C2019-05-11,3
S2019-05-13,4
F2019-05-14,2
S2019-06-09,4
C2019-06-10,4
F2019-06-11,2
F2019-07-06,2
S2019-07-07,4
C2019-07-10,4
C2019-08-03,3
F2019-08-05,2
S2019-08-06,4
S2019-08-31,4
C2019-09-01,3
F2019-09-02,2
C2019-10-01,1
F2019-10-04,1
S2019-10-05,3
F2019-11-25,2
C2019-11-26,1
"NA2020-02-09",1
C2020-02-11,1
F2020-02-12,1
C2020-04-30,4
S2020-05-01,3
F2020-05-04,2
F2020-06-06,2
S2020-06-08,4
C2020-07-02,2
S2020-07-05,4
F2020-07-06,2
"NA2020-08-06",4
C2020-08-07,4
F2020-08-08,2
C2020-09-03,3
S2020-09-04,4
F2020-09-05,2
"NA2020-09-07",3
C2020-10-01,3
S2020-10-02,3
F2020-10-04,2
C2020-11-04,1
C2020-11-27,1
F2020-11-30,2
