date,month,month_surv,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,count,species_sum
2018-05-23,5,5,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,196000,196000
2018-05-23,5,5,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,960000,960000
2018-05-29,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,36076,36076
2018-05-29,5,5,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,7298,7298
2018-05-30,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,339966,339966
2018-05-30,5,5,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,7344,7344
2018-06-19,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,20600,20600
2018-06-19,6,6,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,1836,1836
2018-06-27,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,129000,129000
2018-06-27,6,6,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,318000,318000
2018-07-14,7,7,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,363000,363000
