date,site_id,trophicStatus,group,scientificName,AphiaID,orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,hakai_id,count,species_sum
2018-01-10,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY404,480,480
2018-01-10,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY404,120,120
2018-01-11,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY406,0,0
2018-01-11,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY406,360,360
2018-01-12,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY408,0,0
2018-01-12,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY408,280,280
2018-02-19,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY412,0,0
2018-02-19,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY412,1560,1560
2018-03-24,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY414,6438,6438
2018-03-24,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY414,3034,3034
2018-03-27,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY420,114000,114000
2018-03-27,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY420,27800,27800
2018-03-31,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY423,406000,406000
2018-03-31,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY423,3312,3312
2018-04-22,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY430,11211,11211
2018-04-22,QCS01,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY430,12460,12460
2018-04-25,DFO2,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY432,57224,57224
2018-04-25,DFO2,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY432,124320,124320
2018-04-28,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY435,13172,13172
2018-04-28,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY435,3977,3977
2018-05-23,KC10,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY438,196000,196000
2018-05-23,KC10,auto,Bacillariophyta,Skeletonema marinoi small,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY438,960000,960000
2018-05-29,QCS01,auto,Bacillariophyta,Skeletonema marinoi large,376667,Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,CPHY437,36076,36076
